['YOGYULSLDZNYDN-UHFFFAOYSA-N', 'active', 1.0]
['GUADVWXHHFUDNT-UHFFFAOYSA-N', 'active', 1.0]
['UHJRSWYTEFVFLK-UHFFFAOYSA-N', 'active', 1.0]
['OPPBNXCDOOAKEO-UHFFFAOYSA-N', 'active', 1.0]
['FPHWQVFISHGQRD-UHFFFAOYSA-N', 'active', 1.0]
['WBBRSAXQZJIUEA-UHFFFAOYSA-N', 'active', 1.0]
['JFAMPQHECMNQGZ-UHFFFAOYSA-N', 'active', 1.0]
['WNWRCEQXRSWJQI-UHFFFAOYSA-N', 'active', 1.0]
['AKZFATATFODLRX-UHFFFAOYSA-N', 'active', 1.0]
['ZXCTVIHSBPLHJJ-UHFFFAOYSA-N', 'active', 1.0]
['ZWJDQHDVQVAUDJ-UHFFFAOYSA-N', 'active', 1.0]
['FMCHBYIYQFLEJO-UHFFFAOYSA-N', 'active', 1.0]
['TULWDTBNBLJCAZ-UHFFFAOYSA-N', 'active', 1.0]
['JNOVUFBEFLSMHF-UHFFFAOYSA-N', 'active', 1.0]
['BDNGNSHDUQLSNI-UHFFFAOYSA-N', 'active', 1.0]
['LZEMODMOZKWKOE-UHFFFAOYSA-N', 'active', 1.0]
['SCEZDJMDGXKLLA-HWKANZROSA-N', 'active', 1.0]
['BXHWCIGXHFKFKH-UHFFFAOYSA-N', 'active', 1.0]
['SIFVYIOFZKPYQA-UHFFFAOYSA-N', 'active', 1.0]
['INOMMLSYZGKWON-QFEZKATASA-N', 'active', 1.0]
['LHDILOGPJUUYQO-UHFFFAOYSA-N', 'active', 1.0]
['ZYNVTCGJESSJRR-UHFFFAOYSA-N', 'active', 1.0]
['AVONARCDQJLGIF-UHFFFAOYSA-N', 'active', 1.0]
['OZOPYHSHRDYSEB-UHFFFAOYSA-N', 'active', 1.0]
['TWWRBIZQFRELAL-UHFFFAOYSA-N', 'active', 1.0]
['DFJGNOZMRVAKFY-UHFFFAOYSA-N', 'active', 1.0]
['RLMQWRMOGCDKQV-UHFFFAOYSA-N', 'active', 1.0]
['DJCSWPCEFQDEBY-UHFFFAOYSA-N', 'active', 1.0]
['JGMPINMSWMCHBO-UHFFFAOYSA-N', 'active', 1.0]
['QXZRUOFZESRYJO-UHFFFAOYSA-N', 'active', 1.0]
['BJPUQRPCEAIEMF-UHFFFAOYSA-N', 'active', 1.0]
['FVFUFHWLLPBVKT-UHFFFAOYSA-N', 'active', 1.0]
['GJMRFAVDYTVEHT-UHFFFAOYSA-N', 'active', 1.0]
['RFQQTMGYTBSTKH-UHFFFAOYSA-N', 'active', 1.0]
