,Name,Status,Probability
0,ANYDIFAASZFQNB-UHFFFAOYSA-N,1,0.6590909090909091
1,IOMMMLWIABWRKL-PPXNXDGCSA-N,1,0.5909090909090909
2,HEROWVQMOQJATR-BJKOFHAPSA-N,1,0.5909090909090909
3,YWUWVJIKGDPRGG-HXUWFJFHSA-N,1,1.0
4,TUOYPHBELCPBEP-MHWRWJLKSA-N,1,1.0
5,IHOMWAXTZMKLAT-YRNVUSSQSA-N,1,1.0
6,QMOMMXJIWOGYPC-NBILRRPASA-N,1,0.5909090909090909
7,ZLUYWPBOVFZNTG-JOCHJYFZSA-N,1,1.0
8,YXQYYLNZEWUXMD-YRNVUSSQSA-N,1,1.0
9,UKXVGRNSIJPYFK-LEBWJFOGSA-N,1,0.5909090909090909
10,LLHVBBNWHPGSMK-OAQYLSRUSA-N,1,1.0
11,CUUIZWDRZDSZDF-XYOKQWHBSA-N,1,1.0
12,IMFKETJITRYFOH-HSZRJFAPSA-N,1,0.5909090909090909
13,WHRFEMBJCGIWOS-YRNVUSSQSA-N,1,1.0
14,CVQCRGYFEVUAFL-NBILRRPASA-N,1,0.5909090909090909
15,XGUZPQIZIJVNGA-RUZDIDTESA-N,1,0.5909090909090909
16,JCZBWKAZYQYRIU-WUTDNEBXSA-N,1,0.6590909090909091
17,AWBUREOGISEZHO-GOSISDBHSA-N,1,0.5909090909090909
18,FYAQLKIYMBLKPU-RIYZIHGNSA-N,1,1.0
19,ZTBKGGLGDMLJCS-WUTDNEBXSA-N,1,1.0
20,KIEXMVITNVJBEJ-NBILRRPASA-N,1,1.0
21,HOGMYEVJFOYANZ-MRXNPFEDSA-N,1,0.6136363636363636
22,MWUUNVOAGXGSPR-OAQYLSRUSA-N,1,1.0
23,WCIYIWDPEBHZME-HSZRJFAPSA-N,1,0.5909090909090909
24,ADZYAMHZRTVCHD-ZAOIQFLMSA-N,-1,0.5227272727272727
25,IACXGBQFWATELN-SGHRQYOTSA-N,-1,0.5
26,USDBLRVAOQKJGH-WTQRLHSKSA-N,1,0.8863636363636364
27,KNUNIZRVOHRYRL-RPBOFIJWSA-N,-1,0.5
28,DJPOWQSJECOBBO-JOCHJYFZSA-N,1,1.0
29,QIBVMINKMHMDAD-GOSISDBHSA-N,1,1.0
30,GKZIUACFJYRISP-YRNVUSSQSA-N,1,0.5909090909090909
31,OFLKSFJTTRHGBF-NBILRRPASA-N,1,0.5909090909090909
32,MTUFXPOTXOPSHV-HHHXNRCGSA-N,1,0.5909090909090909
33,SGHHQLYODQIGBE-BQHJZSHBSA-N,1,0.6136363636363636
34,HDRKTANXQYEREL-ZQAUEJBPSA-N,1,0.6590909090909091
35,CRDFVOTYNXFDQN-FHVRUZERSA-N,1,0.6590909090909091
36,BPAGEFGEKNLNMG-SSSWHTQTSA-N,-1,0.5
37,DSULVSKPGRWASO-YRNVUSSQSA-N,1,1.0
38,UEZFOSUZIDDJER-XMMPIXPASA-N,1,0.6590909090909091
39,USMSYRDXXCLQHO-VJBVUQEFSA-N,1,0.5909090909090909
40,WMSYQNNTHDNIEI-LJQANCHMSA-N,1,1.0
41,MQCDWGMMDAPGKB-FTUXVVSKSA-N,1,1.0
42,BYXGLOPXVVKRIC-VJBVUQEFSA-N,1,0.5909090909090909
43,HEROWVQMOQJATR-DNQXCXABSA-N,1,0.5909090909090909
44,QVAIFDVUUPRQOP-FVTJEVFOSA-N,1,0.5909090909090909
45,DKAMBEHAQOUWDB-NBILRRPASA-N,1,0.6590909090909091
46,PBBSNONCFLLRFE-SNMYMPMCSA-N,1,0.6590909090909091
