molecule_chembl_id,stdInChiKey,formula,STATUS,pIC50,MW,LogP,nHAcc,nHDon,smiles,preferredCompoundName
CHEMBL231306,-,-,active,9.744727494896694,460.9250000000001,4.211220000000003,6,4,Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4cccc(Cl)c4)C=CNC3=O)n5ccnc5,-
CHEMBL199723,-,-,active,8.154901959985743,460.5340000000003,3.225100000000001,7,2,CN1CCN(CCc2ccc(NC(=O)c3cc(cnc3O)c4ccc5OCOc5c4)cc2)CC1,-
CHEMBL436509,-,-,active,7.823908740944319,432.4800000000002,3.187000000000002,7,2,CN1CCN(CC1)c2ccc(NC(=O)c3cc(cnc3O)c4ccc5OCOc5c4)cc2,-
CHEMBL201511,-,-,active,14.004364805402448,378.3840000000002,2.7609000000000004,5,2,COc1cc(cc(OC)c1OC)C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34,MALEIMIDE
CHEMBL396482,-,-,active,8.455931955649724,291.3140000000001,2.4123199999999994,4,2,Cc1cc(cc2[nH]c(nc12)C3=CC=CNC3=O)n4ccnc4,-
CHEMBL389605,-,-,active,9.853871964321762,460.9250000000001,4.211220000000003,6,4,Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)n5ccnc5,-
CHEMBL231311,-,-,active,9.102372908709556,503.4040000000001,5.390420000000003,5,3,CC(CNC1=C(C(=O)NC=C1)c2nc3c(C)cc(cc3[nH]2)n4ccnc4)c5cccc(Br)c5,-
CHEMBL231213,-,-,active,8.440093374963888,474.9520000000001,4.865320000000003,6,3,COC(CNC1=C(C(=O)NC=C1)c2nc3c(C)cc(cc3[nH]2)n4ccnc4)c5cccc(Cl)c5,-
CHEMBL390198,-,-,active,9.82390874094432,490.95100000000014,4.219820000000002,7,4,COc1ccc(cc1Cl)C(O)CNC2=C(C(=O)NC=C2)c3nc4c(C)cc(cc4[nH]3)n5ccnc5,-
CHEMBL231212,-,-,active,9.795880017344077,478.91500000000013,4.350320000000003,6,4,Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4ccc(F)c(Cl)c4)C=CNC3=O)n5ccnc5,-
CHEMBL231112,-,-,active,9.327902142064282,495.3700000000002,4.864620000000003,6,4,Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4ccc(Cl)c(Cl)c4)C=CNC3=O)n5ccnc5,-
CHEMBL387824,-,-,active,9.602059991327963,495.3700000000002,4.864620000000003,6,4,Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4cc(Cl)cc(Cl)c4)C=CNC3=O)n5ccnc5,-
CHEMBL231110,-,-,active,9.283996656365199,456.50600000000014,3.5664200000000017,7,4,COc1ccc(cc1)C(O)CNC2=C(C(=O)NC=C2)c3nc4c(C)cc(cc4[nH]3)n5ccnc5,-
CHEMBL231004,-,-,active,9.455931955649724,440.5070000000001,3.8662400000000012,6,4,Cc1ccc(cc1)C(O)CNC2=C(C(=O)NC=C2)c3nc4c(C)cc(cc4[nH]3)n5ccnc5,-
CHEMBL387823,-,-,active,8.920818753952375,519.5870000000002,2.9293200000000006,8,5,Cc1cc(cc2[nH]c(nc12)C3=C(NCC(O)c4ccc(NS(=O)(=O)C)cc4)C=CNC3=O)n5ccnc5,-
CHEMBL231003,-,-,active,9.148741651280924,456.50600000000014,3.566420000000001,7,4,COc1cccc(c1)C(O)CNC2=C(C(=O)NC=C2)c3nc4c(C)cc(cc4[nH]3)n5ccnc5,-
