Gene_Name,logFC,AveExpr,t,P.Value,adj.P.Val,B
CSAG1,10.9673128192457,2.30622262001462,56.3866800220657,4.98042348564519e-16,8.36960166762674e-12,20.750398562935
MAGEA3,11.9629246378756,4.1097146337931,42.1862656623967,1.64242303036342e-14,1.38004595126287e-10,22.0171585472339
NEFL,9.9322248726629,3.61396462927555,38.7959242307608,4.49753015251082e-14,2.51936647376481e-10,20.8334450701
PITX2,8.30443057208242,0.308580299304438,31.8240953838216,4.84224415682595e-13,2.0343478263865e-09,16.1018841799345
CSAG3,9.95284853341347,1.54373336584132,27.0492663008391,3.37844451553423e-12,9.8574288470816e-09,16.1822017792743
MAGEA12,11.6277121093011,3.56842123737724,26.9566516538732,3.51946284334958e-12,9.8574288470816e-09,17.7333936327914
PRAME,10.8045347334515,5.84056819946101,25.4212570162108,7.07687050280118e-12,1.33949077969262e-08,17.7154504900986
MAGEA6,11.9938614665267,4.00761415969696,25.3922387754041,7.17370843036807e-12,1.33949077969262e-08,17.3869987415594
MAGEA2B,9.15950688985233,1.47859276299021,20.5057463558235,9.0290716809089e-11,8.92550291751024e-08,14.038456324529
MAGEA2,10.6507502120774,3.00587776664988,18.6921492099339,2.68320029544705e-10,2.21275920067601e-07,13.8697680902926
MCIDAS,7.25602018890277,0.583092943806618,17.7531669895695,4.90649267631363e-10,2.94477176519466e-07,12.4361727732465
HLA-DRA,11.986013408854,3.07529847364288,17.5462681029203,5.62682681190607e-10,3.26064912324419e-07,13.2413532531201
PREX1,5.41603930255599,5.22769361896964,17.3836241344783,6.27321974717016e-10,3.51404859503982e-07,13.3705658322691
OTX1,7.86070380638028,-0.0127654353198039,17.2766019156631,6.74203383278661e-10,3.65483479225739e-07,11.9344883093902
ZIC2,8.32542591072023,0.850221747723472,17.1578969949379,7.30666595551144e-10,3.83714129319905e-07,12.2515516813094
PAX9,7.90990922366565,1.08284966064198,16.4274502236107,1.21255541807254e-09,5.82199822877401e-07,11.9460453822711
HOXC13,8.34618335731358,1.11297555151352,16.1109689987046,1.51993579900247e-09,6.68134007620496e-07,11.7785876311215
GABRA3,8.21395101938396,0.762454453588481,16.1025248664809,1.52921123403943e-09,6.68134007620496e-07,11.6609276245404
ACTN4,1.82601039272973,9.539741231338,15.9022727368025,1.76808494223098e-09,7.24699206199797e-07,12.3302473786251
ZIC4,6.05227419384282,-1.37970531553021,15.774745464544,1.94100300513451e-09,7.50094932293575e-07,10.4444203493042
WT1,9.12207657971969,0.915775472440228,15.4678942362076,2.43652611811478e-09,8.71187689679126e-07,11.3454917795151
ANKRD18B,4.72269052529507,1.21410094916278,15.3901746615972,2.58264415286492e-09,9.04194478935311e-07,11.3845119331936
CSAG2,6.69316311076665,-0.899407314164666,15.198374353905,2.98528466796917e-09,1.00335417690444e-06,10.4412776515562
CSAG4,6.39483065361451,-1.11493536433615,14.8559898523525,3.88257057167384e-09,1.2793450677839e-06,10.1473485333974
KRT18,10.1438287701212,3.22453117944705,14.5819144048409,4.8107043167812e-09,1.52535634044355e-06,11.2954381291577
SFRP1,7.44537636076084,6.26981007881052,14.522503275111,5.04191261756715e-09,1.55343397431993e-06,11.2546957096531
CTSC,2.12793081997609,7.54244643058159,14.4782198301519,5.22203557780858e-09,1.55356281155477e-06,11.2204015507332
SATB2,2.99341282570669,4.84862490983251,14.1837488960287,6.6113315646613e-09,1.91557632662299e-06,11.0102185749503
MANEAL,5.11883924539108,4.14214632163731,14.1595975066554,6.74179846556149e-09,1.920269884979e-06,11.0128797875645
NCEH1,2.79699096573718,5.1601143490478,13.967856821732,7.8816394388279e-09,2.13804067686705e-06,10.8196512882713
NKX2-4,6.5816369343133,-0.974510605017511,13.9542331107043,7.97018518230463e-09,2.13804067686705e-06,9.71966964212646
EGF,6.53935191015777,1.81097812247232,13.8956663535966,8.36323226291701e-09,2.14471893684097e-06,10.5371708962713
BMS1P22,5.94164618866565,-1.45551053786499,13.8923764660153,8.38592222339435e-09,2.14471893684097e-06,9.44821790483308
AL589743.1,9.6276190122768,2.60457920327864,13.886995874623,8.42317464037513e-09,2.14471893684097e-06,10.680367777797
ARHGAP27,2.98847485722716,2.77435456738745,13.705446308512,9.79083243613512e-09,2.41963145719486e-06,10.5662561933095
MAGI1,3.17660902130013,4.56704301358605,13.5934518647494,1.07525982696532e-08,2.5813916274503e-06,10.5290724911423
IGF2BP1,6.86015633966074,3.21767965741102,13.5633541598116,1.10280888193965e-08,2.60525659191281e-06,10.5026674043738
NBEAP3,6.93170720206204,-0.73013856924481,13.5364164315409,1.12811117742404e-08,2.60525659191281e-06,9.57600685524235
DUXAP9,5.5744151474416,3.84737840546744,13.5155126576415,1.14817684037597e-08,2.60525659191281e-06,10.4865550819208
