GeneID,SRX3270441,SRX3270442,SRX3270443,SRR7947406,SRR7947407,SRR7947408
FCER1A,8,3,2,3,0,1
RPRML,0,1,1,19,44,31
ARL14,0,0,0,0,0,0
LINC00305,0,0,0,0,0,0
OR6C2,0,0,0,0,0,0
WDR97,30,11,17,215,112,174
NLRP8,0,0,0,0,0,0
PCED1B,1,0,1,6,0,0
AL450998.2,53,16,57,502,286,353
APOBEC3B,13,4,20,14,25,11
SYCN,0,0,0,0,0,0
AC135776.1,0,0,0,0,0,0
PIPOX,44,19,74,63,51,23
ATP8B5P,0,1,2,0,0,1
FOXS1,0,0,1,20,15,3
ATOH7,8182,5083,7819,4206,928,728
CDH5,5,1,2,69,0,0
LRRC3B,160,10,34,15,0,1
OR7E22P,2,1,1,0,1,0
FAM216B,0,0,0,0,0,0
MRGPRX4,0,0,0,0,0,0
PCBP1-AS1,1223,568,1022,1174,1200,1436
MYADM,524,187,313,530,514,343
MRGPRX3,0,0,0,0,0,0
MROH1,75,68,80,435,758,853
SERTAD2,1490,644,869,581,1651,2341
PIK3CD-AS1,0,0,0,0,0,0
AKAP5,71,37,56,858,905,781
NKPD1,3,1,1,53,68,33
GIPC3,1,2,1,22,83,68
RNF227,200,78,156,407,224,137
CITED4,3,3,5,132,307,340
ABCA13,35,24,38,4,0,3
NLRP11,2,0,2,98,29,66
TIGD5,47,19,62,626,388,373
PDXDC1,1268,737,1076,2231,2960,2204
PHC1P1,43,29,37,158,160,173
C1orf194,3,2,2,85,10,5
ZNF154,1889,984,1795,546,489,613
R3HDM2,1013,561,866,1617,1680,1283
B3GNT3,0,0,0,0,2,0
ITLN1,7,7,14,1,0,0
NRXN1,878,646,1288,3104,3800,3861
SEPHS2,481,293,514,1152,1018,987
OR10A7,0,0,0,0,0,0
GPBAR1,0,2,2,10,26,21
ZNF784,130,44,72,294,280,326
ZNF648,16,9,17,0,0,2
C14orf119,863,463,855,724,582,601
CCR8,0,0,0,0,0,0
LINC00652,26,11,16,129,54,82
GOLGA8J,0,0,0,0,5,3
BBS10,1091,535,884,430,297,228
FIZ1,360,175,359,1046,568,767
PUF60,667,423,821,3353,2636,3058
SSC5D,13,6,16,57,147,75
DCTPP1,468,200,412,2003,1690,1663
ZNF771,37,20,43,363,117,138
PPP1R14BP3,3,1,2,4,7,9
AC140134.1,105,15,75,62,72,40
CRIPAK,397,214,269,492,445,413
TSHZ1,439,210,280,1824,1276,727
PSTK,188,90,140,67,74,50
SPDYE7P,1,0,0,2,0,0
AC010894.1,0,0,0,0,0,0
SOCS4,1925,1044,1712,983,1816,1494
ZADH2,1902,844,1305,3725,2651,1217
AC093909.1,1,2,1,5,17,8
OR1E1,0,0,0,0,0,0
AC079741.1,1,0,1,0,1,0
ZNF48,405,245,423,864,660,774
AC087498.1,0,0,0,0,1,0
FAM71E2,2,1,2,0,4,0
C3orf80,12,2,11,143,169,57
NKX2-6,0,0,0,0,0,0
TMEM150B,0,0,0,4,0,0
C10orf91,0,0,0,0,5,2
OR3A4P,0,0,0,0,0,0
ANKRD18A,58,19,60,73,359,90
WFDC11,0,0,0,0,0,0
TMEM86B,3,5,5,145,116,77
OR3A1,0,0,2,0,0,0
44075,10,2,14,127,123,108
TRNAU1AP,517,338,620,890,572,440
EXOC3,628,353,667,1005,720,664
AC017081.1,0,0,0,0,0,0
TDRD6,111,49,152,31,2,3
C12orf40,0,0,0,0,0,0
CSNK1A1L,0,0,0,0,0,0
ACTA2-AS1,13,2,8,25,11,16
HMGN2P9,0,0,0,0,0,0
XIAPP3,2,0,2,4,3,3
LYNX1,20,17,28,1006,1134,1035
RPS12P23,0,0,0,0,0,0
TH,9,3,2,0,0,0
FAR2P1,0,0,11,3,1,0
MED14,2464,1227,1944,2224,3430,1991
FAHD1,351,276,342,918,591,613
HMGB1P14,0,0,0,0,0,0
TDRP,1419,759,1066,1027,1235,829
RCC1,869,319,685,2101,1639,1328
WFDC9,0,0,0,0,0,0
MYLPF,1,0,0,3,4,1
F2,1,3,3,1,0,1
FO393411.1,0,0,0,0,0,1
FAM71C,0,0,0,0,0,0
TPT1P10,0,0,0,0,0,0
PRKRA,2004,1106,1754,2205,1899,1675
HERC2P3,254,158,640,482,462,396
NACAP2,0,0,0,0,0,0
ZNRF2,292,208,286,556,747,605
RRH,11,11,14,10,4,2
SLC9A4,0,0,0,0,0,0
ZNF816,258,113,240,221,243,185
PRNT,0,0,0,0,0,0
FGD6,1017,478,738,172,362,501
ADGRD2,0,0,0,4,33,7
GPR139,4,1,12,0,0,0
LINC01869,0,0,0,0,1,3
AL049610.1,0,0,0,0,0,0
PLD5,39,25,31,149,370,216
OAZ2,3243,1564,2742,2353,2071,1842
WFDC10A,0,0,0,0,0,0
PNPLA1,1,2,3,4,3,0
ALX1,2,5,4,0,0,1
CCDC43,667,358,610,823,772,616
KCTD4,0,0,0,0,0,0
MEIOC,80,27,26,51,224,96
FZD2,59,29,50,11,23,49
TIGD2,391,194,299,723,812,903
CCDC129,0,0,0,2,8,0
HCLS1,29,7,16,142,7,9
MTURN,2596,1737,3900,3593,6051,4966
ZNF609,3261,1624,2956,2671,4533,3535
PAK2,5740,3173,5257,3696,4645,3939
CCDC66,1217,707,1042,410,624,453
