GeneID,SRX3270441,SRX3270442,SRX3270443,SRR7947406,SRR7947407,SRR7947408
TSPAN6,3021,1218,1903,1276,353,654
TNMD,0,1,0,0,0,0
DPM1,766,396,649,817,590,601
SCYL3,589,330,621,395,293,265
C1orf112,779,365,686,908,788,517
FGR,0,0,3,38,7,9
CFH,1,0,0,17,5,4
FUCA2,1213,594,856,1081,1363,746
GCLC,1095,525,780,1803,1001,829
NFYA,2024,1057,1505,1123,1670,1422
STPG1,58,20,66,363,383,237
NIPAL3,425,226,658,1997,3082,1270
LAS1L,1218,594,1110,3717,2618,2788
ENPP4,416,221,371,225,58,16
SEMA3F,210,136,245,4850,3578,3851
CFTR,21,6,19,3,0,0
ANKIB1,2167,1405,2236,1017,968,1025
CYP51A1,59,35,42,144,218,215
KRIT1,1557,725,1224,1202,819,731
RAD52,425,316,444,411,401,275
MYH16,3,0,4,0,0,0
BAD,48,24,52,1668,904,990
LAP3,622,363,633,1055,848,815
CD99,530,138,300,647,444,205
HS3ST1,24,26,24,20,0,2
AOC1,0,0,0,2,1,1
WNT16,58,30,40,0,0,1
HECW1,527,373,676,161,191,182
MAD1L1,112,56,127,1237,971,989
LASP1,2916,1844,3497,3836,3996,3862
SNX11,329,198,352,931,702,730
TMEM176A,124,110,190,894,1100,812
M6PR,1284,691,1069,1680,1684,1347
KLHL13,618,558,891,205,323,70
CYP26B1,2,6,24,203,845,555
ICA1,122,37,65,633,390,234
DBNDD1,258,180,433,3318,3167,3586
ALS2,1754,1099,1814,1953,1862,1780
CASP10,13,4,10,18,1,4
CFLAR,2374,1393,2450,1088,823,846
TFPI,9,20,22,21,0,0
NDUFAF7,674,355,632,918,861,925
RBM5,7927,4280,7895,6612,3737,3094
MTMR7,735,366,711,1287,1304,785
SLC7A2,653,196,309,380,538,387
ARF5,480,262,586,2369,1777,1963
SARM1,1533,954,1720,4232,4085,3312
POLDIP2,1043,592,1056,2519,2548,2119
PLXND1,50,33,89,4808,9084,5663
AK2,2468,1178,1852,2933,3044,1930
CD38,9,1,3,16,4,2
FKBP4,3304,1731,3616,3985,4819,3602
KDM1A,7327,4369,7058,8438,9791,9413
RBM6,4212,2597,4800,7515,6984,6737
CAMKK1,175,95,177,3180,1689,1536
RECQL,1207,658,1039,1791,1539,1388
VPS50,1017,610,997,737,585,496
HSPB6,14,8,13,48,39,27
ARHGAP33,479,415,646,7899,6383,6165
NDUFAB1,733,401,699,1740,1193,1146
PDK4,177,117,150,35,9,0
SLC22A16,1,0,1,2,3,1
ZMYND10,81,52,82,1166,240,176
ABCB5,0,0,0,0,0,0
ARX,0,0,1,0,0,0
SLC25A13,1337,775,1145,1530,1622,1585
ST7,637,468,790,89,109,65
CDC27,2668,1461,2258,2160,2087,2381
SLC4A1,6,1,1,5,2,6
CALCR,70,57,106,0,0,0
HCCS,405,207,352,559,510,518
DVL2,422,185,390,2241,1643,1561
PRSS22,0,0,0,0,0,2
UPF1,569,283,571,3310,3211,3185
SKAP2,194,108,139,36,11,6
SLC25A5,2264,1281,2515,5716,5697,4392
MCUB,427,225,312,1325,2077,1304
HOXA11,0,0,0,1,0,0
POLR2J,148,56,163,755,504,576
DHX33,1428,699,1085,2179,2297,2172
MEOX1,0,0,0,0,0,0
THSD7A,2156,1975,2559,2364,1633,1390
LIG3,2744,1249,2071,1726,2146,1820
RPAP3,1738,877,1268,1135,932,805
ACSM3,14,5,5,8,1,1
REXO5,334,170,239,2263,2900,1302
CIAPIN1,1331,722,1405,1312,1359,1654
SPPL2B,272,169,233,3145,1871,1848
FAM214B,722,398,655,681,334,330
COPZ2,13,2,13,35,42,42
PRKAR2B,2234,1509,2620,3461,2297,1641
MSL3,958,561,938,1488,719,716
CREBBP,3457,1699,2972,3827,3254,3236
TSPOAP1,609,309,487,4396,3167,2023
MPO,34,7,24,6,4,0
PON1,3,1,3,0,0,0
GCFC2,885,403,579,615,675,877
WDR54,503,226,444,2152,1640,1170
CROT,505,203,363,465,319,182
ABCB4,149,84,137,24,8,2
KMT2E,5213,2892,4535,2511,2760,2309
RHBDD2,341,202,462,3254,2089,2258
SOX8,76,51,97,50,95,59
IBTK,2832,1524,2490,1207,1154,1070
ZNF195,1969,1235,2267,1698,1359,2322
MYCBP2,4218,2782,4565,2118,2192,1787
FBXL3,1342,633,1279,995,672,764
ITGAL,4,1,2,40,4,8
PDK2,268,113,258,888,804,731
ITGA3,89,51,90,3159,2429,1202
ZFX,1823,967,1624,1250,836,939
LAMP2,1983,932,1585,841,1089,690
ITGA2B,63,24,45,856,664,355
ASB4,2,0,0,0,0,0
GDE1,1412,675,1150,1314,1293,1274
REX1BD,84,35,91,974,388,485
CRLF1,0,0,0,358,1780,2414
OSBPL7,123,73,136,753,698,532
TMEM98,4016,2012,4020,2413,2007,2462
YBX2,35,9,9,178,917,323
KRT33A,0,0,0,0,0,0
MAP3K14,128,76,128,689,280,354
ABCC8,66,49,102,1661,1035,526
CACNG3,44,38,131,3,0,0
TMEM132A,626,418,612,4527,5413,8257
AP2B1,7894,5151,9322,8571,12647,8789
TAC1,127,124,282,18,11,0
ZNF263,792,452,706,1474,879,879
CX3CL1,31,9,21,86,65,24
SPATA20,45,64,68,839,806,461
CACNA1G,22,7,16,3676,5217,4107
TNFRSF12A,1,4,0,37,80,44
DLX6,0,0,0,10,0,411
MAP3K9,780,437,961,2267,3623,2163
RALA,2141,1339,2283,3604,4058,3991
BAIAP2L1,352,86,124,2028,2173,1226
KDM7A,1784,1171,1663,358,694,691
ETV1,1008,450,801,314,67,249
AGK,752,476,777,800,917,788
ALDH3B1,0,0,1,26,9,1
TTC22,22,5,10,0,0,0
PHTF2,1272,617,994,2473,2647,1895
CCL26,1,0,0,11,2,6
FARP2,950,487,800,1618,1295,1140
USH1C,1,0,2,5,3,1
GGCT,525,212,374,2034,1860,1853
DBF4,1310,668,881,1338,1161,923
TBXA2R,0,0,0,37,131,94
IFRD1,2356,1375,2087,1098,1291,1408
LGALS14,0,0,0,0,0,0
COX10,306,167,262,399,355,219
GTF2IRD1,449,226,516,3594,3389,2775
PAF1,862,497,993,2914,1939,1599
VPS41,3221,2174,3944,1584,1657,1602
ARHGAP44,343,172,327,1139,1122,725
ELAC2,950,481,957,1925,2111,1951
SCIN,7,1,2,10,1,0
ARSD,934,490,906,201,36,38
PNPLA4,312,179,283,577,547,465
MYH13,0,0,0,10,7,1
ADIPOR2,2306,1075,1931,2599,2911,1895
CDKL3,39,22,25,33,36,21
UPP2,7,1,3,0,0,0
PRSS21,0,0,0,0,0,0
MARK4,458,241,572,1351,2010,1583
PROM1,2221,773,1206,5454,2584,2863
CCDC124,30,16,48,1302,1465,1602
CEACAM21,1,0,1,10,1,0
PAFAH1B1,9908,5761,10115,9400,8174,6652
NOS2,9,1,1,148,784,480
DNAH9,134,57,64,46,7,20
KIAA0100,5317,2574,4803,5006,5206,4886
SLC13A2,1,0,0,15,55,8
GAS7,649,246,402,6784,6568,3936
TRAPPC6A,15,8,17,291,345,244
MATK,2,0,1,4270,2490,2468
CEACAM7,1,1,0,0,0,0
CD79B,0,0,0,6,0,1
SCN4A,10,2,3,2,22,3
ST7L,609,328,447,840,613,472
TKTL1,23,14,29,8,1,2
PAX6,24544,13891,21182,161,590,374
RPUSD1,7,8,15,890,406,514
RHBDF1,65,26,64,383,537,370
LUC7L,3253,1838,2907,4035,3010,3122
CACNA2D2,329,174,301,546,958,691
BAIAP3,46,15,25,357,129,87
TSR3,67,43,99,1045,828,840
PIGQ,88,33,94,1849,1024,1585
CRAMP1,732,371,629,1108,1058,1257
TEAD3,137,56,110,1509,2367,2321
SELE,0,0,0,0,0,0
DNAJC11,887,483,858,2035,1638,1829
FMO3,0,0,0,7,0,0
MYLIP,261,128,192,136,202,212
NOX1,1,0,0,0,0,0
E2F2,528,145,327,3296,4059,3644
PSMB1,2039,1126,2055,3083,2223,2162
SYN1,204,140,325,1087,1691,1161
JARID2,721,339,562,2778,4139,4949
CDKL5,729,466,769,1621,2592,3044
CAMK1G,97,33,71,2,31,21
CDK11A,96,73,45,293,223,252
NADK,279,100,242,1199,1399,1180
TFAP2B,390,288,671,0,0,0
TFAP2D,165,163,452,0,0,0
DLEC1,42,15,29,5,7,7
CYTH3,666,323,539,654,742,501
ADAM22,1751,1021,1611,2164,2549,1915
SYPL1,711,262,455,396,223,136
CYB561,230,117,195,525,245,121
SPAG9,6912,3893,6960,5117,7692,6822
CELSR3,1346,1131,1781,7524,7840,7819
AASS,2158,1062,1538,45,4,4
PLEKHG6,1,0,0,5,13,10
SS18L2,388,184,296,602,380,351
MPND,104,44,116,1242,1011,1079
MGST1,89,41,59,131,79,68
CRY1,1051,558,1088,934,1274,1003
PGLYRP1,0,0,0,0,0,0
NFIX,1,1,9,267,58,17
ST3GAL1,256,124,229,320,656,664
MMP25,0,0,0,9,0,2
IL32,2,0,0,31,6,5
PKD1,244,143,296,12232,17367,13988
MAPK8IP2,339,247,544,3743,3433,3608
MED24,1140,624,1216,4072,3056,3486
RHOBTB2,347,185,434,2167,1516,1426
HEATR5B,1868,1195,2012,1257,1374,1565
SEC62,4350,2272,3869,2823,1782,1790
RPS20,12443,6098,9897,25131,13299,12027
CSDE1,18083,10673,18395,14632,17556,17118
UBE3C,1635,788,1366,2486,2946,2740
REV3L,2316,1165,1975,2175,2589,2113
TENM1,411,160,391,63,1,0
PAX7,1,2,5,2,0,1
MASP2,1,0,1,5,0,1
IYD,0,0,0,0,0,0
FAM76A,411,216,319,400,251,185
TRAF3IP3,9,1,1,13,2,9
POMT2,1383,672,1143,1963,967,991
VTA1,2190,1224,1941,1843,1612,1533
MLXIPL,3,2,4,225,495,306
BAZ1B,6103,3277,4917,8170,8577,7219
RANBP9,2023,1165,1718,3776,4236,3783
ETV7,1,0,0,11,9,10
SPRTN,541,272,381,359,420,418
METTL13,654,325,530,752,788,625
DYRK4,240,146,187,817,735,312
ZNF207,9002,4376,7613,5733,4600,4259
UQCRC1,1064,583,1168,5621,5175,5114
STARD3NL,1670,1047,1858,1882,1667,1368
CD9,344,115,199,717,158,188
HHATL,1,0,0,44,100,10
NCAPD2,4552,1745,2997,6086,8174,4352
IFFO1,176,93,184,998,740,726
GIPR,6,6,10,175,1027,422
PHF7,123,58,124,301,441,186
SEMA3G,98,53,134,22,50,37
NISCH,1480,878,1587,10285,7596,6041
STAB1,20,5,9,515,18,10
FUZ,242,128,209,2345,1081,947
SLC6A13,7,5,4,3,3,0
IDS,2831,1605,3031,2250,1349,778
PRSS3,0,0,1,7,6,6
ZNF200,364,194,399,555,398,487
CD4,133,42,64,249,32,10
LRRC23,182,70,95,283,171,73
BTK,12,11,12,18,0,0
HFE,23,13,11,7,0,1
SCMH1,1124,550,1027,3429,3414,2946
FYN,3307,2282,3938,2943,2834,2004
HIVEP2,476,306,483,256,192,26
FMO1,2,0,0,0,0,0
ELOA,1903,1016,1661,2097,1860,1813
LYPLA2,177,124,268,1460,1178,1688
CLCN6,1209,765,1158,1269,1094,1068
MRC2,115,53,86,2022,4163,1684
NME1-NME2,0,1,4,12,42,23
SLC6A7,0,0,0,5,2,2
TSPAN9,362,208,374,10786,7188,8619
BTBD7,1941,938,1861,937,1056,794
APBA3,58,45,56,672,586,516
MKS1,611,233,499,1176,945,655
ABHD5,245,142,245,172,193,179
ANOS1,1935,1321,2205,1222,240,157
AKAP8L,1170,680,1227,3388,2921,2347
MBTD1,4857,2665,3773,2081,1206,1416
UTP18,1009,537,784,1318,1021,784
RNF216,888,464,722,1360,1465,1367
TTC19,2181,1168,1924,3089,2790,2198
PTBP1,2448,981,1812,5729,5301,5506
DPF1,133,80,146,2290,1690,1593
SYT7,3755,2135,3512,708,1450,1352
LARS2,519,349,550,798,1036,720
PIK3C2A,4169,2018,3091,1283,1644,1213
PLAUR,196,83,138,52,5,20
ANLN,1856,800,1089,1710,2392,1417
WIZ,396,207,383,2510,2174,2286
RABGAP1,2885,1575,2619,2086,1972,1711
DCN,19,1,11,668,23,13
QPCTL,47,18,32,253,182,109
PPP5C,990,481,837,5292,4643,4426
CEP68,1899,973,1627,1642,2202,2689
MAP4K3,2255,1195,1865,1616,1563,1642
ZBTB32,0,0,0,14,13,2
TYROBP,3,2,0,253,7,1
TMEM159,259,92,300,483,669,451
GABRA3,1016,488,862,430,331,65
BRCA1,2352,900,1362,2396,1527,1217
ERCC1,996,471,911,1973,1287,1160
CD22,56,22,50,86,14,5
SEMA3B,140,75,134,838,850,902
MBTPS2,1126,588,981,945,1214,1036
PRICKLE3,8,1,5,52,149,97
LTF,0,0,0,7,0,0
EXTL3,1183,621,1086,1012,1690,1336
NR1H4,2,2,0,5,0,0
ELOVL5,3406,1847,3023,2515,3185,2825
ALOX5,11,2,6,1400,1256,509
KDM5D,495,0,2,0,0,0
CALCOCO1,2357,1389,2428,2868,2053,1866
UBR7,1476,802,1313,4622,3809,3266
MAP4K5,3108,1723,2687,3280,2961,2625
EHD3,106,81,131,314,168,90
PSMC4,801,444,906,1512,1227,1507
MAN2B2,202,126,264,613,594,531
SLC7A14,10,13,32,48,79,53
CLDN11,46,4,42,466,53,5
SLC25A39,315,145,302,2394,2531,2399
MVP,21,6,18,414,1458,403
NUB1,1225,713,1053,1192,1033,957
PGM3,1732,889,1349,1978,1586,1211
RWDD2A,377,209,331,416,230,174
CLK1,8776,5123,8341,5561,1778,2717
POLR3B,494,328,548,286,244,313
ANGEL1,1225,606,960,652,565,309
RNF14,953,587,1006,905,769,792
DNASE1L1,137,54,117,755,357,416
DDX11,872,415,653,4706,3681,3481
HEBP1,365,126,252,1100,1520,1077
GPRC5A,15,2,9,168,150,61
MAMLD1,400,241,313,1067,753,656
CD6,0,0,1,8,13,5
TACC3,945,353,634,4938,5112,3076
UFL1,1344,671,1000,1012,1385,1007
POLA2,919,351,656,1580,1761,1443
ZC3H3,37,28,38,647,632,455
CAPN1,208,142,385,2345,2434,2425
ACPP,1,0,0,2,1,0
MDH1,3122,1553,2795,6378,8878,8071
SLC30A9,3404,1795,2924,2610,2063,2248
MTMR11,184,74,136,220,437,121
COX15,1290,640,1087,1223,1274,1108
CCDC88C,521,262,425,5239,4070,5467
YAF2,1151,742,1039,1572,947,767
ZMYND11,3738,1918,3069,2322,1577,1797
WAS,6,6,9,72,43,44
DPEP1,1,0,0,15,30,3
BID,421,177,331,756,636,654
MATR3,659,264,643,340,294,334
NPC1L1,2,1,0,4,10,1
XYLT2,83,23,60,372,303,113
RGPD5,113,79,77,46,25,27
STMN4,991,770,1938,895,2682,897
NUDCD3,1409,790,1497,2852,2929,2163
ISL1,2792,2711,5010,0,0,0
CHDH,120,35,81,540,715,593
IL20RA,10,10,9,5,0,0
CLCA1,0,0,0,0,0,0
CLCA4,0,0,0,0,0,0
GLT8D1,1600,723,1132,1956,1466,953
ATP2C1,4338,3098,5168,4377,4700,3545
IGF1,32,14,11,15,1,0
SLC38A5,64,39,147,14774,5111,5070
RALBP1,1332,730,1321,1807,1990,1367
RUFY3,5135,3534,6395,2675,3637,2518
CNTN1,1831,1574,3056,3514,2207,1157
SLC11A1,1,3,1,37,34,7
WWTR1,524,255,400,189,24,2
AGPS,2730,1719,2716,1587,1892,1683
ZNF806,6,3,4,1,0,1
CXorf56,509,254,505,825,630,653
ATP1A2,2196,149,592,5914,905,82
TTC27,454,264,377,397,307,224
ZNF582,214,140,178,90,99,161
VSIG2,0,1,0,85,56,35
PHLDB1,970,539,1076,1171,1886,1490
MARCO,0,0,0,13,9,19
CYP24A1,0,0,0,0,0,0
PRDM11,614,281,456,591,456,389
SYT13,1224,1048,2740,1533,2933,1471
SNAI2,12,3,3,70,22,12
CD74,80,42,64,4384,494,169
HGF,3,1,1,36,13,3
ZRANB1,2551,1478,2337,1202,894,722
NCDN,193,114,275,2051,2877,2525
ADGRA2,615,230,360,205,410,284
CCT8L1P,1,2,1,1,0,3
ZFP64,349,194,375,494,525,593
MNAT1,421,215,369,619,583,558
SAMD4A,157,44,84,37,20,3
RUNX3,7,2,3,74,79,45
MRE11,2058,803,1542,1684,1475,1083
PLEKHB1,575,337,838,12943,7940,6210
SERPINB1,162,74,145,618,481,421
CYP3A43,7,0,2,0,1,0
SLC7A9,47,21,38,75,18,4
SPAST,2665,1612,2646,1534,1577,2292
NRXN3,501,364,633,169,586,332
OSBPL5,73,38,97,768,648,661
AQR,2745,1476,2390,1594,1851,1560
CPS1,153,75,56,49,19,27
C8B,0,0,0,0,0,0
FHL1,2995,1989,3408,2501,2611,1856
RTF2,1089,567,1194,2084,1589,1325
GABRA1,21,14,49,1,0,0
NLRP2,675,331,1640,1211,643,580
SLC45A4,187,88,144,413,419,343
RNF10,2646,1414,2627,3294,4599,4716
ZNF839,269,125,222,872,604,566
ZDHHC6,1377,773,1049,961,608,539
GRAMD1B,858,465,885,4478,2491,1290
RNH1,75,43,86,1369,1142,869
NDUFS1,2449,1670,2990,3652,4684,3798
RB1CC1,3541,2198,3415,1766,1666,1643
ERP44,1494,857,1351,1234,1269,923
ALAS1,668,345,631,1161,1857,1266
BIRC3,22,6,4,25,3,0
AKAP11,4249,2153,3813,985,937,777
GLRX2,65,26,58,87,87,59
SNAPC1,293,147,217,194,142,76
DERA,967,437,747,2967,2246,1902
STRAP,3927,2335,3636,4555,4001,3796
ABCC2,97,48,95,55,14,5
DEF6,30,14,12,236,56,49
PLEKHO1,930,556,1077,2075,1240,1724
GCLM,287,139,217,517,531,412
UBR2,1812,993,1611,1022,1039,822
EHD2,3,3,1,548,180,42
DEPDC1,1261,536,696,712,877,608
CCDC28A,287,106,227,390,201,138
RRAGD,412,214,405,1986,1402,1157
HSF2,1582,898,1405,1837,2379,1655
PHF20,1363,845,1363,2154,2612,1604
HSD17B6,33,8,9,206,267,191
NR1H3,103,44,65,333,354,180
TYMP,0,0,0,131,98,114
NCAPH2,364,167,397,7092,4110,3889
TOMM34,327,154,282,350,484,355
SEC63,3823,1973,3101,2977,3066,3008
KPNA6,2001,962,1952,1531,2014,1546
VIM,25655,11864,25946,11517,4765,4378
RTEL1-TNFRSF6B,11,4,15,268,149,222
FAS,54,21,42,200,119,71
RNASET2,91,36,67,302,139,49
CD44,277,234,415,263,182,33
KCNG1,0,0,0,20,2,1
AGPAT4,2562,1472,2463,987,928,801
SLAMF7,0,0,0,45,7,1
BTN3A1,136,93,176,69,5,7
MIPEP,227,121,194,455,236,188
PRKCH,11,1,13,290,293,207
INSRR,16,9,11,115,487,652
IFNGR1,895,441,760,892,656,507
B4GALT7,55,41,90,386,226,287
SH2D2A,11,1,19,62,291,116
VRK2,407,163,236,132,480,579
TNFRSF1B,215,72,112,121,11,10
VEZT,2804,1585,2766,2551,2010,2332
POU2F2,645,482,1229,1769,2023,1130
BRD9,855,506,857,1258,1596,1681
SNX1,3270,1586,2783,2837,2474,2110
TBPL1,1119,770,1108,726,693,570
ARNTL2,451,258,428,1168,1539,1351
BCLAF1,9812,5386,8189,7535,4659,5219
SLC39A9,1902,1012,1714,2243,2089,1815
ANK1,529,471,849,2748,3271,2843
IBSP,0,0,0,0,0,0
TFB1M,242,112,180,261,238,173
RABEP1,3612,2031,3614,3457,3759,3263
HMGB3,5198,2650,4669,6026,4397,4932
NUP160,4653,2245,3422,4036,3326,3630
BAK1,156,64,147,235,180,165
MUSK,0,0,1,0,0,0
IKZF2,775,399,562,94,84,61
GRN,158,82,168,2235,1459,1273
FAM13B,3115,1861,2855,2280,1303,1629
ARHGAP31,55,27,63,66,10,11
CENPQ,493,214,310,384,313,220
SARS,2258,1355,2877,4675,6449,4012
RANBP3,633,300,578,2554,2006,1899
ARID4A,1207,670,1006,1245,929,738
EIPR1,320,163,333,800,1075,1267
PNPLA6,80,55,99,1087,1115,1380
IFT88,614,277,452,1187,588,408
ALG1,247,124,247,676,347,355
ZCCHC8,1280,629,1029,1509,1644,1680
ABCF2,949,535,937,1167,1179,1272
CHPF2,178,95,168,949,638,831
LRRC7,109,64,143,45,61,75
FUT8,628,393,710,488,532,235
UBA6,2713,1543,2777,1542,2154,1802
GAB2,1594,1436,2592,1664,2980,1883
ATP6V0A1,2184,1244,2392,4687,5064,3879
PIAS1,3329,1987,3051,2432,3074,2513
SLC4A7,4534,2502,4110,1011,3816,2755
APBA2,823,491,1023,1986,2296,2775
MAP2K3,90,27,57,223,200,221
EFCAB1,73,23,33,1265,201,22
TMSB10,8902,5245,15589,24896,28137,31732
ASTE1,354,175,301,436,276,230
RNF19A,1436,844,1507,1240,1834,1304
PEX3,510,251,375,306,232,183
GABARAPL2,2108,1249,2207,3984,2379,1856
MYOC,0,0,0,0,0,0
SH3YL1,1439,662,1079,809,621,640
FAM136A,1323,671,946,1772,2187,2553
VCL,1169,437,831,922,1652,1355
DEPDC1B,1695,640,968,1325,1055,730
DAPK2,28,16,39,364,298,169
NSMAF,1163,544,915,1245,864,882
ADSS,1982,1020,1495,1618,1237,1051
STAP1,1,0,1,6,0,0
TIMP2,2796,1441,2258,4816,4343,4090
RFC1,3154,1196,2099,2412,2955,2661
TBC1D23,1255,761,1253,1724,995,664
CUL3,3662,1938,2997,3431,3116,2484
MYOM2,108,85,212,247,194,165
OTC,0,0,0,7,0,0
CYP46A1,202,77,115,290,217,89
AC118549.1,2328,1220,1973,1166,1000,870
SLC18A1,0,0,0,49,23,25
USP2,23,5,16,1498,1530,1997
CASR,0,0,0,0,0,0
TUBG2,187,85,164,518,696,376
RPL26L1,232,146,272,597,556,524
FLT4,34,11,17,1012,2522,1302
NSUN2,1652,951,1388,1707,1430,1659
FBXO42,1086,656,1006,1456,1188,1039
MFAP3,1272,737,1232,247,499,471
MRI1,333,167,436,837,634,709
METTL1,131,62,121,473,271,296
HOXC8,0,0,0,3,4,2
AGA,332,145,253,279,77,137
PI4K2B,330,131,234,617,349,475
BOD1L1,3580,2024,3485,2511,3450,2591
MAT2B,2332,1320,1892,1359,866,962
TLL1,239,179,318,1,2,2
EDC4,591,330,570,2672,2223,2211
TRIO,4223,2853,4759,2711,4195,4255
VCAN,9161,3620,6339,5117,11075,10498
CLEC16A,497,315,513,1575,2313,1960
MSR1,4,3,2,233,7,1
CDH1,6,2,3,43,3,4
MTREX,2685,1431,2280,2048,2037,1672
DNAH5,63,57,87,7,6,0
ZFYVE16,2842,1539,2688,2789,3848,2581
RIPOR1,31,28,41,631,377,501
C6,1,1,2,0,0,0
RAI14,3509,1980,2972,2756,5211,7384
SOX30,6,1,4,23,8,14
PNKP,185,91,137,1326,1116,1002
BEST2,5,11,9,4,0,1
PHLPP2,1054,480,814,1019,961,792
SPDL1,1214,571,830,709,543,481
STAU2,2205,1309,2249,2165,2679,2947
PQLC2,118,50,72,754,768,781
CTNS,170,79,143,382,273,362
RTN4R,4,3,6,853,941,756
PHF23,763,371,765,969,693,891
CDH10,176,100,230,53,7,21
INPP4A,1487,840,1482,846,1164,919
RAB27B,50,13,38,0,0,0
PSMA4,3380,1870,3093,3078,2566,2258
MYO16,916,774,1055,2280,2166,1790
LSG1,1358,524,1236,1252,1031,972
PARP3,103,39,83,625,384,517
TNC,25,12,40,988,3531,3366
THAP3,76,40,77,436,365,276
RIPOR3,19,7,14,37,10,1
TDP1,1181,558,879,1693,1554,978
AIFM2,35,13,26,116,32,37
C2orf83,0,0,0,0,0,0
SPATA7,538,285,518,428,244,112
MED17,1556,898,1364,1343,738,1100
RETSAT,258,136,204,392,358,277
CAPG,1,4,2,281,106,15
AP2S1,372,174,403,1917,1608,1513
USH2A,41,16,36,188,34,30
ZPBP,1,1,2,0,0,0
TG,7,2,4,5,13,5
ADAM28,43,17,18,76,18,11
BARX2,1,0,0,0,0,0
DCUN1D1,1248,661,1139,736,526,701
JADE2,10,3,5,1206,581,277
ZIC2,2639,1100,1897,1508,935,844
LCP2,3,2,3,72,2,0
TRIT1,695,425,572,792,435,413
ADRB1,3,0,4,5,1,1
GUCA2B,0,0,0,0,0,0
CUL7,899,365,769,1564,2216,1538
CTNNA1,6319,3438,6301,4381,6328,4657
PHKA2,762,352,424,1361,1183,1036
CNTLN,980,480,689,1324,1010,766
EPHA3,540,413,768,309,41,16
HSPA5,8527,3725,6775,6748,5444,6550
DSG2,1399,674,935,31,244,379
GEMIN8,245,139,265,296,171,132
OFD1,1619,813,1343,1261,864,602
GPM6B,3811,2313,4647,4510,3982,3466
MAGEC2,0,0,0,0,0,0
PREX2,1390,672,890,92,11,2
WDR37,726,413,720,859,777,575
YTHDC2,2936,1449,2230,1775,1726,1730
CTPS2,1997,1024,1544,1162,1246,1228
ATP6V1H,904,557,1005,2250,2156,1806
POLR2B,5385,3196,4931,4754,3893,4076
FAM214A,1440,813,1319,967,706,1022
ARAP2,92,21,31,46,4,6
TPR,8857,4563,6922,8770,7644,7395
CP,175,181,928,88,7,0
KIAA0556,371,169,322,6649,2796,2937
DTNBP1,183,90,175,961,849,644
XK,126,83,120,994,1123,716
ANO2,116,34,49,4887,1894,1682
C12orf4,807,503,817,751,559,480
SCML1,1160,513,620,1806,1915,1305
WWC3,631,284,474,1347,1070,1106
ARHGAP6,131,52,76,73,62,6
FAM184B,372,277,804,71,36,5
MAP4,4682,3077,5882,11155,13697,12348
GOPC,2752,1695,2543,1948,1677,1283
ROS1,0,0,0,0,0,0
USP28,2702,1319,1762,1188,1042,558
HDAC9,2367,1460,2142,371,619,238
TSPAN17,457,222,537,1056,1209,1038
NOP16,134,47,129,258,120,156
CC2D2A,1206,576,905,1833,2571,1904
RRM2B,674,389,578,1038,1781,1093
ZNF800,574,320,401,356,486,414
TNFRSF17,1,0,0,0,0,0
SNX29,789,430,714,1147,1517,1346
LMO3,64,68,86,1120,94,96
MRPS10,721,400,587,569,597,435
GUCA1A,25,18,36,515,189,33
RSF1,3878,2135,3667,2675,2411,2266
VPS13D,1764,974,1688,1015,1477,1063
CELF2,5894,3367,5637,1911,1560,1386
FAM120A,1619,747,1209,1488,1327,1121
R3HDM1,2359,1392,2165,1344,1866,1513
COL9A2,487,71,161,280,1828,3108
KITLG,1444,754,1693,44,28,9
ERCC8,500,300,453,281,302,269
ADAMTS6,531,296,386,43,46,47
H6PD,1339,460,907,900,990,1024
VAMP3,1693,857,1111,596,339,243
PER3,1838,722,1308,3539,4760,2159
UTS2,0,0,0,2,0,3
TNFRSF9,3,1,5,11,4,5
EPN3,0,0,2,3,20,0
LTBP1,2055,402,700,369,118,52
RCN1,9097,4962,7849,4396,4980,4671
ELN,130,35,157,164,38,10
RFC2,641,272,491,2830,2491,1980
ARID1B,3572,1939,3527,3090,3133,2984
CLPTM1L,704,363,658,2681,1911,1866
NEDD4L,1982,1485,2817,7073,6291,3694
FOXP3,3,3,3,16,15,18
PPP1R3F,89,64,111,905,1032,874
HEXB,447,192,290,1684,1514,865
PTCD2,925,458,634,581,637,449
NEXMIF,755,334,655,779,816,735
JKAMP,1504,920,1474,1067,998,972
DKK3,6803,3416,6420,1211,536,129
ARHGEF5,34,7,14,42,27,1
NFE2L3,112,67,101,302,711,933
MCUR1,1037,492,752,2232,2613,2364
LIMA1,296,145,292,1029,1260,1484
LETMD1,1716,818,1424,2936,2836,1595
SLC4A8,5261,2908,5221,5508,7976,3475
LAMC3,43,13,25,89,118,62
PTGER3,144,89,123,2,5,2
TNIP3,15,6,5,17,27,1
MAPK9,1415,875,1344,1867,1654,1285
COL23A1,105,38,125,14,4,2
BCAR1,75,72,65,2844,2152,1916
FAM160A2,655,297,514,1082,912,739
HERPUD1,915,615,958,912,717,712
HOMER3,159,97,174,400,658,1418
RAD51,425,210,318,661,802,441
POLQ,1206,550,696,674,737,389
PIK3CB,513,277,426,493,686,458
CYBA,16,4,12,790,582,616
THOC3,211,111,194,781,872,700
HEBP2,719,448,779,816,606,665
MPHOSPH9,2005,913,1447,1666,2793,2288
PLEKHA5,1272,796,1336,2322,2084,2061
