GeneID,logFC,AveExpr,t,P.Value,adj.P.Val,B
USP32P1,6.2871505636553,-0.103800374675244,11.5275890149644,2.6173597300435e-06,0.038443779714879,2.06410798098328
KCNJ12,6.03525906348592,-1.44299968655827,10.1121138402462,7.11007391915634e-06,0.0522163828622842,0.706439276655657
CEACAM22P,7.43840199567109,-2.55751309584687,8.54996325160576,2.49266064410531e-05,0.122040665135396,-0.412119708545198
LYZ,1.9711978642488,4.71539281974706,7.28167966535936,7.99576813948806e-05,0.195736404054668,1.93418594431455
DGKH,3.53959771405701,1.44320692929662,6.65388116511872,0.000151037744853999,0.269171038636892,0.862420704387326
TRPC3,6.58184756614745,-3.95548805929527,6.17706485117599,0.000252244844680364,0.301543538629292,-1.78862356686891
FAM106CP,4.92496380214155,-3.51835986187521,5.95554029404302,0.000323134867165617,0.301543538629292,-1.64060378947055
NPIPA5,3.97722022542244,-2.94488691884917,5.90068004592329,0.000343903693602332,0.301543538629292,-1.3803586670199
CLEC5A,2.30773527840344,0.126781885091149,5.88725071440956,0.000349208406517269,0.301543538629292,-0.0342968913687844
SORL1,1.71178257346497,1.9224375119687,5.53795482930172,0.000524309781842887,0.361084353130985,0.054665897270481
CEACAM20,4.84952500994513,-4.51774747507362,5.51183699248327,0.000540839853545866,0.361084353130985,-2.15352957671611
DOCK10,1.79636098928344,1.56295971521888,5.17714149106127,0.000811737947720482,0.495058490020076,-0.329186546460519
CCDC144A,3.67131188735204,1.20376578769568,5.17252926712604,0.000816381627091479,0.495058490020076,-0.381960669314478
STAB1,1.56769424645696,2.4177443488747,5.13855468655728,0.000851495153294864,0.495058490020076,-0.275186607873397
DOCK4,2.0971340302777,-0.204360955932653,5.11543702739703,0.00087632902645166,0.495058490020076,-0.715980822748877
KBTBD11,2.2116535984387,-0.104828654115648,5.03007013169901,0.000975115757420316,0.526963717880155,-0.759150034027626
VCAN,2.36948098379561,-0.0475047254665304,4.95705901359763,0.00106927475579612,0.526963717880155,-0.80606228989864
CD74,1.35734667372732,3.60210859716889,4.94824448240684,0.00108129681838483,0.526963717880155,-0.405432105652441
ZNF90,4.61788449909001,-2.85193968336286,4.94727371779658,0.00108262981055688,0.526963717880155,-1.76524950273024
ZNF818P,3.36020958898731,-1.46381651145659,4.90115339500763,0.00114806910213541,0.526963717880155,-1.277294036312
FAM196A,5.0178332100433,-2.10521567642975,4.83729108852773,0.00124589466153863,0.55453638753574,-1.54612470416101
TMEM51,3.10910250903838,-3.02183390417402,4.69980692963168,0.00148870424109388,0.643120232152558,-1.96003731592139
ANTXR2,1.84918705444853,-0.167508816015286,4.57348802996271,0.00175757505285321,0.706532783722067,-1.17070135550575
SLC25A21,1.15330894064577,5.74301254303936,4.52755489761324,0.00186803897066182,0.706532783722067,-0.921866239282158
FYB,1.79743742111946,0.0188062043507163,4.47908598957867,0.00199280935002845,0.706532783722067,-1.22184446592175
XRRA1,1.48187738725788,2.95716662810769,4.465080454263,0.0020305219325676,0.706532783722067,-0.982746626781062
RELN,3.48276941079823,1.04182895989098,4.45827884824669,0.00204911456843712,0.706532783722067,-1.10562327503015
LOC403323,4.16370471778524,-3.5820820842429,4.44586656393837,0.00208352093603288,0.706532783722067,-2.29249460595953
MPEG1,2.00738193633384,-0.572568004174072,4.43416864225475,0.00211651977694519,0.706532783722067,-1.38548355567246
RASAL1,2.57008074184694,-2.17551166317407,4.41478247264642,0.00217245783043967,0.707312320596156,-1.84555058947949
TDRD1,2.25924421418143,-0.353568586045261,4.40034104452369,0.00221516658138774,0.707312320596156,-1.36804034915078
ALCAM,1.4581864032719,0.806707366118397,4.36894855695222,0.00231116997749591,0.71893638122078,-1.22236335037199
COL24A1,2.77490872760945,-1.91881164588695,4.35681745001979,0.00234946529810712,0.71893638122078,-1.80858095925531
ANXA10,3.48525006292456,-2.85115545068498,4.29795042533713,0.00254528507253304,0.737095552217354,-2.134391417691
HLA-DRB1,1.37453541666819,1.82781480760822,4.29274696941606,0.00256342323235675,0.737095552217354,-1.22833996014069
RBM46,3.67644139177352,-4.31196998366836,4.23868733463252,0.00276033556623222,0.737095552217354,-2.61098601250482
VIM,1.26466352414425,2.87189259007963,4.23312942353442,0.00278148663173179,0.737095552217354,-1.26179585706552
PRG3,2.68866921317884,-2.64729335662617,4.23087237992828,0.00279012581151689,0.737095552217354,-2.11429096192282
FAM198B,1.29271432898651,2.33428222572092,4.18894782937232,0.00295596934251461,0.737095552217354,-1.32772061233855
GPRIN3,1.89876785940322,-0.905747347996929,4.1737589581137,0.00301864792157654,0.737095552217354,-1.69300861911712
LSP1,1.47315231810656,0.863425070703848,4.16678544158217,0.00304790298397434,0.737095552217354,-1.43295583776067
LITAF,1.85101785624174,-0.0992935872156136,4.14066237588106,0.00316023683232142,0.737095552217354,-1.57157810863312
LOC729737,2.93939164108901,-2.66830042085671,4.10705715332384,0.00331134223230027,0.737095552217354,-2.20336003689313
PRTN3,1.42852504769145,1.08658683383731,4.10295384273491,0.00333031859722717,0.737095552217354,-1.48679714145703
PSMD5-AS1,1.46266094441769,3.60828370171544,4.08732658800268,0.00340366692513237,0.737095552217354,-1.44255281738588
WDFY4,1.83280383445808,0.20016229851873,4.08519612270302,0.00341380028776073,0.737095552217354,-1.58686797963819
SAMD12,1.7707974478374,1.37409858078662,4.07436226870066,0.00346583472618919,0.737095552217354,-1.5017991505886
HTR7P1,1.2126964444474,1.89887128442433,4.05697988242341,0.0035511106492828,0.737095552217354,-1.49868369221672
