"GeneID"	"AA.043_Thalassimia_D08.N3"	"AA.043_Thalassimia_D10.N1"	"AA.043_Thalassimia_D08.N1"	"AA.043_Thalassimia_D10.N3"	"AA.043_Thalassimia_D10.H4"	"AA.043_Thalassimia_D08.H4"
"FAIM2"	1	0	3	0	11	1
"LOC283332"	0	0	1	0	4	0
"LOC101927292"	1	0	3	0	2	0
"AQP2"	2	0	8	0	11	3
"LOC101927318"	0	0	1	0	2	1
"AQP5"	1	0	1	0	11	0
"AQP6"	5	9	18	0	12	8
"RACGAP1"	9031	16813	15199	14769	11130	10474
"ASIC1"	8	3	8	2	22	4
"SMARCD1"	1734	2169	4501	1480	958	1789
"GPD1"	8	12	23	4	4	6
"COX14"	409	897	1174	600	269	486
"CERS5"	613	624	929	417	473	658
"LIMA1"	528	666	1090	407	385	595
"MIR1293"	0	0	1	0	0	2
"FAM186A"	5	7	4	0	20	1
"LARP4"	6352	7714	9059	4878	6233	6627
"DIP2B"	2121	2592	4491	1653	1890	2582
"ATF1"	1242	1731	2410	1420	1209	1325
"TMPRSS12"	2	4	2	1	9	2
"METTL7A"	6241	14960	10189	10472	9528	8676
"HIGD1C"	5	8	5	6	11	6
"SLC11A2"	8255	10450	9345	8628	7670	8005
"LETMD1"	1046	1269	1724	789	705	1152
"CSRNP2"	226	343	359	275	259	254
"TFCP2"	952	957	1375	654	1023	1099
"POU6F1"	18	15	29	4	14	12
"DAZAP2"	4350	6742	9336	6287	3870	4183
"SMAGP"	22	21	30	13	19	20
"BIN2"	337	290	684	233	190	546
"CELA1"	0	2	1	0	1	2
"GALNT6"	4896	9439	9026	5762	3696	4845
"SLC4A8"	326	317	487	146	171	391
"SCN8A"	6	14	11	8	30	4
"FIGNL2"	1	3	5	0	11	1
"ANKRD33"	0	0	0	1	8	0
"ACVRL1"	1	2	3	1	14	3
"ACVR1B"	47	29	102	11	40	77
"GRASP"	3	9	9	5	9	4
"NR4A1"	13	11	69	3	17	59
"ATG101"	332	793	1133	423	237	433
"OR7E47P"	5	4	9	2	17	4
"KRT80"	0	2	0	0	3	0
"C12orf80"	1	0	0	0	3	0
"LINC00592"	0	2	1	0	1	1
"KRT7"	0	0	1	1	3	0
"KRT81"	0	2	0	0	2	0
"KRT86"	0	0	1	0	7	0
"KRT83"	1	0	0	0	0	0
"KRT85"	0	0	0	0	6	0
"KRT84"	0	0	0	0	2	0
"KRT82"	0	0	0	0	7	0
"KRT75"	0	1	2	0	1	0
"KRT6B"	0	0	0	0	3	0
"KRT6C"	0	0	0	0	3	0
"KRT6A"	0	0	0	0	4	0
"KRT5"	0	0	1	0	2	0
"KRT71"	0	0	0	0	4	0
"KRT74"	1	1	0	0	3	0
"KRT72"	0	1	0	0	6	0
"KRT73"	0	0	5	1	0	1
"KRT73-AS1"	0	0	3	0	4	1
"KRT2"	1	4	9	11	3	1
"KRT1"	19	166	20	478	105	17
"KRT77"	1	0	1	0	9	0
"KRT76"	0	0	0	0	5	0
"KRT3"	4	2	10	0	7	5
"KRT4"	1	0	0	0	2	0
"KRT79"	2	13	11	7	7	9
"KRT78"	0	3	1	0	5	0
"KRT8"	3	3	5	0	15	6
"KRT18"	46	39	135	22	76	33
"EIF4B"	19746	24371	47493	17892	10009	22668
"LOC283335"	7	6	12	1	8	10
"TNS2"	33	60	87	12	49	71
"MIR6757"	0	1	0	0	0	0
"SPRYD3"	339	598	1055	311	206	396
"IGFBP6"	0	0	1	0	0	2
"SOAT2"	0	0	1	0	12	0
"CSAD"	206	211	291	111	171	194
"ZNF740"	1186	1159	2652	595	556	1575
"ITGB7"	536	792	2119	407	242	475
"RARG"	507	619	1424	264	275	549
"MFSD5"	803	1197	2266	867	498	835
"ESPL1"	9232	16144	13857	8258	8938	9345
"PFDN5"	4268	9299	10278	8081	3747	5152
"C12orf10"	524	1187	1510	812	437	647
"AAAS"	2112	4029	5347	2853	1687	2331
"SP7"	1	17	9	3	16	5
"SP1"	11305	19758	20672	13990	12022	11794
"AMHR2"	13	9	52	3	5	29
"PRR13"	718	1114	2000	899	533	864
"PCBP2"	8743	9924	15886	6144	8900	10147
"PCBP2-OT1"	177	140	227	49	92	181
"MAP3K12"	294	355	465	81	171	371
"TARBP2"	442	804	1572	445	192	577
"NPFF"	15	16	46	12	10	29
"ATF7"	1003	966	1131	807	834	927
"LOC100652999"	6	7	6	3	3	9
"ATP5G2"	2388	3468	7258	2384	1279	2769
"CALCOCO1"	1647	8237	2424	6506	5724	1827
"CISTR"	0	1	0	0	3	0
"HOXC13-AS"	0	0	0	0	0	0
"HOXC13"	0	0	1	0	6	0
"HOXC12"	0	0	2	0	2	0
"HOTAIR"	2	1	1	0	10	0
"HOXC11"	0	0	0	0	5	0
"HOXC-AS3"	0	0	0	0	2	0
"HOXC10"	1	0	1	0	6	0
"MIR196A2"	0	0	0	0	0	0
"HOXC-AS2"	0	0	0	0	0	0
"HOXC-AS1"	0	0	1	0	3	0
"HOXC9"	0	0	0	0	4	0
"HOXC8"	1	0	1	1	4	0
"HOXC4"	0	1	3	0	9	0
"HOXC5"	0	0	1	0	1	0
"HOXC6"	0	0	0	0	6	0
"MIR615"	0	0	0	0	1	0
"FLJ12825"	1	1	3	1	6	2
"LOC100240735"	0	1	0	1	4	2
"LOC100240734"	0	1	2	0	0	0
"LOC400043"	0	0	0	1	2	2
"SMUG1"	428	960	990	713	373	470
"CBX5"	22467	29008	40030	15410	18023	23798
"MIR3198-2"	0	0	0	0	0	0
"HNRNPA1"	22641	29357	57268	18077	10790	26953
"NFE2"	14123	42362	25987	40782	22571	15518
"COPZ1"	2276	4763	5390	4225	2792	2720
"MIR148B"	4	9	5	4	4	6
"LOC102724050"	6	6	8	1	4	5
"GPR84"	2	6	9	3	13	21
"ZNF385A"	12	12	28	4	18	27
"ITGA5"	89	162	241	56	94	174
"GTSF1"	55	95	215	66	120	158
"NCKAP1L"	2565	2772	5565	1859	1303	2914
"PDE1B"	28	24	86	7	21	38
"PPP1R1A"	2	2	3	0	11	0
"GLYCAM1"	0	0	0	0	0	0
"LACRT"	0	0	0	0	3	0
"DCD"	0	0	0	0	9	0
"MUCL1"	0	0	0	0	1	0
"TESPA1"	89	146	186	108	69	73
"NEUROD4"	0	0	1	1	11	1
"OR9K2"	0	0	0	1	1	0
"OR10A7"	0	0	0	0	2	0
"OR6C74"	0	1	0	0	3	0
"OR6C6"	0	0	0	0	0	0
"OR6C1"	0	0	1	0	2	0
"OR6C3"	0	0	0	0	3	0
"OR6C75"	0	1	0	0	1	0
"OR6C65"	0	0	0	0	3	0
"OR6C76"	0	0	0	0	4	0
"OR6C2"	0	0	1	0	1	0
"OR6C70"	0	0	0	0	3	0
"OR6C68"	0	0	0	0	2	0
"OR6C4"	0	0	0	0	4	0
"OR2AP1"	0	0	1	0	0	0
"OR10P1"	0	0	1	0	1	0
"METTL7B"	1	0	1	0	0	0
"ITGA7"	21	51	39	33	39	34
"BLOC1S1"	652	2024	1610	1804	941	661
"BLOC1S1-RDH5"	2	2	3	0	5	4
"RDH5"	23	52	38	8	19	24
"CD63"	803	757	2714	442	273	1095
"GDF11"	106	144	239	41	96	175
"SARNP"	1956	3551	3915	3100	1822	2318
"ORMDL2"	371	840	873	734	573	453
"DNAJC14"	1360	2409	3158	1857	1180	1577
"TMEM198B"	114	136	171	81	71	123
"MMP19"	2	1	7	1	7	3
"WIBG"	596	1008	1593	736	456	684
"DGKA"	465	567	628	271	331	570
"PMEL"	18	27	33	19	20	21
"CDK2"	4140	6926	8842	4697	3046	4534
"RAB5B"	2415	5352	3288	4889	3791	2653
"SUOX"	286	291	679	195	149	389
"IKZF4"	387	393	533	259	300	330
"RPS26"	3294	4142	7960	4544	1383	2541
"ERBB3"	15	25	35	14	34	13
"PA2G4"	9142	13626	23130	11123	6513	9874
"RPL41"	4875	7140	10834	7532	3390	5292
"ZC3H10"	127	217	249	138	111	161
"ESYT1"	2227	2994	6029	2104	1193	2540
"MYL6B"	282	538	690	476	205	283
"MYL6"	8245	21555	20736	20954	8328	9671
"SMARCC2"	3888	5885	5482	4208	3861	3896
"RNF41"	1790	2808	4023	2279	1222	1909
"NABP2"	779	1622	1835	1233	686	840
"SLC39A5"	5	5	14	1	4	5
"ANKRD52"	1892	2228	4194	1049	1359	2034
"COQ10A"	135	133	311	87	58	197
"CS"	5566	5662	11889	4294	3143	5835
"CNPY2"	717	1371	2313	825	526	1070
"PAN2"	1985	2974	2930	1986	1589	2124
"IL23A"	9	6	12	4	14	17
"STAT2"	893	1354	1458	1232	851	1034
"APOF"	2	22	12	16	9	6
"TIMELESS"	4474	7590	10415	4474	3152	4753
"MIP"	0	1	3	1	8	1
"SPRYD4"	612	564	1063	543	326	705
"GLS2"	230	116	236	53	102	282
"RBMS2"	39	54	55	20	53	64
"BAZ2A"	3643	8175	5629	4980	5351	3970
"ATP5B"	17522	30795	46367	24861	12458	19335
"SNORD59B"	29	21	21	6	7	15
"SNORD59A"	32	18	31	14	10	38
"PTGES3"	9569	14647	18020	9643	8989	9933
"NACA"	17096	27999	42218	23466	10686	19552
"PRIM1"	3640	6175	6357	6355	3847	3696
"HSD17B6"	37	117	40	94	58	46
"SDR9C7"	0	0	0	0	5	0
"RDH16"	3	6	7	1	9	4
"GPR182"	1	6	4	5	4	4
"ZBTB39"	1086	1577	2498	976	638	1127
"TAC3"	0	6	2	1	7	3
"MYO1A"	16	43	26	16	36	32
"NEMP1"	5637	6977	6451	5326	5206	6246
"NAB2"	186	195	420	93	150	289
"STAT6"	1761	3499	3638	2902	1717	2063
"LRP1"	13620	12764	19907	5199	4578	12380
"LRP1-AS"	8	9	5	2	2	4
"MIR1228"	0	0	0	0	0	0
"NXPH4"	0	0	2	0	12	2
"SHMT2"	2319	5178	6749	3564	1110	2092
"NDUFA4L2"	5	23	11	5	4	4
"STAC3"	36	56	66	22	27	58
"R3HDM2"	912	1607	1430	980	822	946
"INHBC"	0	1	5	1	3	2
"INHBE"	1	2	0	1	2	0
"GLI1"	0	8	5	0	16	4
"ARHGAP9"	50	52	145	31	72	110
"MARS"	7151	15048	13942	12172	6055	6433
"MIR6758"	21	16	23	22	17	16
"DDIT3"	378	1583	551	2006	1008	375
"MIR616"	22	32	31	27	22	17
"MBD6"	541	809	696	438	669	534
"DCTN2"	2783	6175	6377	4545	2409	2910
"KIF5A"	349	383	653	207	128	390
"PIP4K2C"	943	1638	2189	1266	781	980
"DTX3"	7	16	37	11	12	17
"ARHGEF25"	0	0	5	0	11	1
"LOC101927583"	0	0	2	0	7	0
"SLC26A10"	0	0	0	0	4	1
"B4GALNT1"	3	1	2	0	8	1
"OS9"	3013	7097	7523	5362	3109	3580
"AGAP2"	174	198	395	77	71	171
"AGAP2-AS1"	3	6	12	1	3	9
"TSPAN31"	257	519	448	374	182	248
"CDK4"	4221	5398	12077	3651	1719	4797
"MIR6759"	4	0	3	2	2	6
"??.?.-09"	87	195	279	55	76	116
"CYP27B1"	40	13	83	8	21	36
"METTL1"	317	267	925	176	82	345
"METTL21B"	97	72	231	49	17	59
"TSFM"	1211	1653	3428	1065	695	1711
"AVIL"	150	130	224	63	79	164
"CTDSP2"	1600	5778	3927	3691	2474	1658
"MIR26A2"	7	18	11	4	2	6
"LOC100506844"	628	529	1346	518	197	691
"XRCC6BP1"	482	646	988	577	364	583
"LOC101927653"	0	0	2	0	4	0
"LOC100506869"	0	0	1	0	1	0
"LRIG3"	1	3	6	0	18	11
"SLC16A7"	1287	973	2264	632	657	893
"FAM19A2"	249	240	577	133	110	397
"USP15"	31570	53510	50069	55532	42271	31410
"MIR6125"	0	0	0	0	0	0
"MON2"	4813	5282	6285	3172	4719	5070
"LINC01465"	187	338	462	129	151	178
"MIRLET7I"	9	15	18	9	3	13
"PPM1H"	63	25	152	18	104	520
"AVPR1A"	2	2	6	2	20	2
"DPY19L2"	141	83	180	30	55	173
"TMEM5"	240	378	637	230	159	276
"TMEM5-AS1"	0	0	1	0	0	0
"SRGAP1"	13	24	11	13	31	15
"C12orf66"	171	202	340	121	100	191
"C12orf56"	1	0	2	1	8	1
"XPOT"	9024	17660	16320	16631	7083	8527
"TBK1"	2721	3084	4287	2965	3328	3038
"RASSF3"	109	44	220	49	56	138
"MIR548C"	0	0	0	0	0	0
"MIR548Z"	0	0	0	0	0	0
"GNS"	2212	2936	4770	2227	2022	2892
"TBC1D30"	1	4	5	1	16	4
"FLJ41278"	1	0	1	1	13	1
"WIF1"	7	43	17	31	34	9
"LEMD3"	4489	10085	7720	7149	5870	4521
"MSRB3"	42	48	130	21	59	103
"LOC100507065"	0	2	2	0	3	0
"RPSAP52"	26	17	28	23	14	11
"HMGA2"	613	727	807	535	442	466
"LOC100129940"	526	285	352	153	320	385
"MIR6074"	0	0	0	0	1	0
"LLPH"	871	901	1591	817	639	968
"LLPH-AS1"	28	29	31	28	8	10
"TMBIM4"	1154	1706	2409	1597	1063	1179
"IRAK3"	479	1278	950	737	953	817
"MIR6502"	0	0	0	0	0	0
"HELB"	849	586	789	830	500	530
"GRIP1"	3	9	20	7	26	7
"LOC102724421"	0	0	0	0	1	0
"CAND1"	10653	14243	19080	10448	8822	11434
"LOC100507175"	0	0	0	0	4	0
"DYRK2"	935	767	2036	446	468	937
"LOC101927901"	1	1	0	0	8	1
"LINC01479"	0	0	0	0	0	0
"IFNG-AS1"	0	0	0	0	9	0
"IFNG"	0	0	0	0	0	0
"IL26"	0	0	1	0	5	0
"IL22"	0	0	4	0	4	0
"MDM1"	1724	2965	2451	2753	2268	1736
"LOC100507195"	0	0	2	1	1	2
"RAP1B"	2005	2761	4105	2034	1403	2057
"SNORA70G"	103	41	78	18	41	100
"LOC100507250"	26	49	40	41	52	27
"NUP107"	5294	6776	9559	5878	4242	6265
"SLC35E3"	137	115	372	61	37	152
"LOC100130075"	2	1	6	2	3	0
"MDM2"	10460	16057	17757	11230	12746	12282
"CPM"	31	48	31	23	55	44
"CPSF6"	7665	7625	12580	4913	5258	7650
"MIR1279"	0	0	0	0	0	0
"LYZ"	538	913	928	788	2391	2334
"YEATS4"	3192	6087	6530	5242	3068	3339
"FRS2"	1274	2214	2309	1492	1842	1302
"MIR3913-1"	0	0	0	0	0	0
"MIR3913-2"	0	0	0	0	0	0
"CCT2"	17378	28535	36493	24533	14984	20126
"LRRC10"	3	3	5	3	11	5
"BEST3"	1009	1039	302	623	2279	1133
"LOC101928002"	142	156	58	86	292	113
"RAB3IP"	1737	3329	1673	3480	2361	1750
"MYRFL"	7	6	5	3	14	7
"LINC01481"	117	163	157	172	187	115
"CNOT2"	3963	4884	6371	4120	3767	4230
"KCNMB4"	3	0	2	4	8	1
"PTPRB"	1	2	4	0	34	2
"PTPRR"	2	0	7	0	8	0
"TSPAN8"	1	4	8	4	1	1
"LGR5"	0	0	2	1	11	2
"ZFC3H1"	3538	2517	3096	1546	2908	3640
"THAP2"	85	99	107	94	69	74
"TMEM19"	859	1257	2044	758	727	1045
"RAB21"	1862	3657	3794	2304	1940	2248
"TBC1D15"	3663	5459	5430	4246	5518	3769
"MRS2P2"	881	388	411	235	553	692
"TPH2"	0	4	1	6	8	3
"TRHDE-AS1"	9	66	12	46	249	19
"TRHDE"	1	16	2	9	69	6
"LOC101928137"	0	0	0	0	4	1
"LOC100507377"	0	0	0	0	3	0
"ATXN7L3B"	2928	3947	5962	2794	2324	3393
"KCNC2"	0	0	2	0	11	0
"CAPS2"	325	346	382	252	288	387
"GLIPR1L1"	44	29	49	15	40	45
"GLIPR1L2"	1	0	4	2	7	7
"GLIPR1"	256	230	330	172	235	302
"KRR1"	3006	3945	4853	3602	2668	3163
"PHLDA1"	24	66	72	27	49	79
"NAP1L1"	13141	16981	25933	14583	9431	13218
"BBS10"	306	431	340	406	371	346
"OSBPL8"	9972	10889	15982	8146	8990	10122
"ZDHHC17"	4643	8496	5288	6222	8924	4357
"CSRP2"	18	36	23	14	17	20
"E2F7"	3398	4699	4292	3080	4240	3179
"NAV3"	3	7	1	6	33	1
"SYT1"	0	0	2	0	12	2
"MIR1252"	0	0	0	0	0	0
"PAWR"	99	164	209	90	93	106
"PPP1R12A"	6894	10002	9776	7525	6182	6619
"OTOGL"	1	1	2	0	16	0
"PTPRQ"	1	1	3	1	27	1
"MYF6"	0	0	0	0	3	0
"MYF5"	0	0	0	0	4	0
"LINC01490"	0	0	0	0	2	1
"LIN7A"	6	4	11	3	7	8
"MIR617"	0	0	0	0	0	0
"MIR618"	0	0	2	1	0	1
"ACSS3"	0	4	3	0	7	1
"MIR4699"	0	0	0	0	1	0
"PPFIA2"	0	0	5	0	16	1
"LOC102724663"	0	0	3	0	2	0
"LOC101928449"	0	0	1	0	1	0
"CCDC59"	1759	2856	3718	2535	1448	1989
"METTL25"	233	260	494	203	132	278
"TMTC2"	4	6	6	4	13	12
"SLC6A15"	0	1	3	1	16	0
"TSPAN19"	1	0	1	0	2	0
"LRRIQ1"	0	1	3	1	30	0
"ALX1"	1	0	0	0	2	0
"RASSF9"	0	1	1	0	4	0
"NTS"	0	1	3	0	2	1
"MGAT4C"	0	0	0	0	5	0
"MKRN9P"	0	3	1	6	4	1
"C12orf50"	0	1	2	1	5	0
"C12orf29"	1099	1895	2360	1695	1225	1247
"CEP290"	1720	1568	2239	1132	1141	1445
"TMTC3"	970	1242	1609	1017	1226	1152
"KITLG"	5	8	11	2	5	4
"LOC728084"	0	0	1	1	6	0
"DUSP6"	71	192	150	152	132	188
"POC1B"	1847	3845	2373	3399	2903	1799
"POC1B-GALNT4"	13	43	53	28	23	15
"GALNT4"	116	391	299	210	150	132
"ATP2B1"	4363	6445	5452	5493	5683	4244
"LINC00936"	69	273	197	130	114	65
"LINC00615"	0	0	0	0	3	0
"CCER1"	0	0	0	0	4	0
"EPYC"	0	0	0	0	3	0
"KERA"	0	1	0	0	3	0
"LUM"	1	1	0	2	2	1
"DCN"	0	0	0	0	10	0
"C12orf79"	0	0	5	0	6	2
"BTG1"	512	1754	979	1467	1063	608
"CLLU1OS"	0	0	1	1	4	0
"CLLU1"	0	0	1	0	3	0
"C12orf74"	0	0	2	0	3	0
"PLEKHG7"	5	3	16	0	19	5
"EEA1"	805	767	1219	571	908	1029
"LOC643339"	81	302	99	285	215	66
"LOC102724933"	15	21	14	12	22	7
"NUDT4"	10257	33398	15099	25306	16156	8375
"UBE2N"	2771	3763	6177	2749	1935	3015
"MRPL42"	4050	4614	7058	4282	3141	3840
"SOCS2-AS1"	52	62	79	53	41	66
"SOCS2"	2778	3872	5233	3594	2271	2628
"CRADD"	579	1314	1264	1097	580	620
"LOC101928731"	311	89	110	62	180	231
"PLXNC1"	1121	647	2847	386	412	1286
"CEP83"	884	674	1040	589	535	861
"CEP83-AS1"	23	45	41	33	36	37
"MIR5700"	0	0	0	0	0	0
"TMCC3"	9	10	20	13	31	23
"MIR7844"	0	0	0	0	0	0
"MIR492"	0	0	0	0	0	0
"KRT19P2"	0	0	0	0	0	0
"NDUFA12"	1128	3154	4914	1818	869	1329
"NR2C1"	1545	1632	1975	1146	1436	1599
"FGD6"	376	266	400	234	732	536
"VEZT"	1924	2014	3113	1805	1901	2260
"MIR331"	2	7	3	1	1	5
"MIR3685"	3	10	8	1	6	2
"METAP2"	19949	23430	38668	18794	12244	21131
"USP44"	141	153	290	91	125	210
"PGAM1P5"	0	2	2	0	1	1
"NTN4"	1	2	2	0	6	1
"SNRPF"	1546	1999	3847	1622	877	1767
"CCDC38"	95	32	72	17	37	82
"AMDHD1"	4	5	13	4	10	7
"HAL"	14	11	19	2	14	21
"LTA4H"	1994	1666	3162	2013	1571	2394
"ELK3"	762	378	994	182	428	693
"CDK17"	4409	7291	7625	4867	5644	4662
"CFAP54"	89	238	138	100	284	136
"NEDD1"	4120	6828	5497	6141	5368	4146
"RMST"	4	16	6	15	21	9
"MIR1251"	0	0	0	0	0	0
"MIR135A2"	0	0	0	0	1	0
"LOC643711"	1	0	0	0	8	0
"RNU6-36P"	6	9	3	19	8	7
"MIR4495"	0	0	0	0	0	0
"MIR4303"	0	0	0	0	0	0
"SLC9A7P1"	2	1	0	1	8	3
"LOC643770"	13	28	24	15	27	14
"TMPO-AS1"	505	985	1163	642	470	477
"TMPO"	37029	69257	60705	59845	47637	35878
"SLC25A3"	12085	19982	31749	13245	7445	12724
"SNORA53"	473	1810	949	1506	664	424
"IKBIP"	471	633	1018	456	374	516
"APAF1"	865	1161	1086	822	839	987
"ANKS1B"	0	0	3	1	16	0
"LOC101928937"	0	0	0	0	1	0
"FAM71C"	0	0	0	0	2	0
"UHRF1BP1L"	2073	2565	3881	1969	1820	2024
"GOLGA2P5"	272	142	267	60	112	268
"MIR1827"	3	3	2	0	1	3
"ACTR6"	749	1126	1409	1012	904	857
"DEPDC4"	60	92	99	87	69	73
"SCYL2"	3790	5892	5951	4932	4277	3974
"SLC17A8"	0	2	1	2	8	2
"NR1H4"	1	5	1	0	4	0
"GAS2L3"	2637	4191	3556	2870	3635	2772
"ANO4"	2	1	0	0	9	0
"SLC5A8"	0	1	0	0	13	1
"UTP20"	4930	3998	9890	2582	2051	5299
"ARL1"	1280	1654	2665	1520	1106	1519
"SPIC"	0	1	0	0	0	0
"MYBPC1"	3	0	1	0	14	0
"CHPT1"	4976	11715	11983	8405	4148	4646
"SYCP3"	221	212	289	56	133	159
"GNPTAB"	3883	2484	6305	1992	1621	3911
"DRAM1"	711	691	1311	462	360	829
"CCDC53"	341	704	776	643	475	470
"NUP37"	2153	3456	4455	3287	1918	2421
"PARPBP"	2617	3788	3296	3612	3101	2683
"PMCH"	64	59	78	30	46	55
"IGF1"	12	14	18	6	45	37
"LINC00485"	1	0	0	0	5	0
"PAH"	0	0	0	0	9	0
"ASCL1"	1	0	1	0	3	0
"LOC101929058"	0	0	1	0	3	0
"C12orf42"	1	1	2	0	6	0
"LOC101929084"	0	0	2	0	7	0
"STAB2"	5	3	8	1	17	2
"NT5DC3"	561	257	1003	209	130	544
"TTC41P"	12	13	12	8	21	23
"HSP90B1"	10134	9509	17359	9372	6261	11897
"MIR3652"	0	0	0	0	0	0
"C12orf73"	114	110	232	87	79	156
"TDG"	3325	5320	7171	4198	3228	3750
"GLT8D2"	49	41	62	22	37	39
"HCFC2"	1311	2180	1477	2028	2052	1302
"NFYB"	1746	2508	2238	2863	1854	1900
"TXNRD1"	7102	10535	17017	8233	6295	8119
"EID3"	386	423	504	285	269	392
"CHST11"	4513	8992	7371	6323	4007	4609
"MIR3922"	7	2	3	0	3	5
"SLC41A2"	2	4	9	6	9	5
"C12orf45"	147	159	441	109	47	177
"ALDH1L2"	20	18	21	16	38	22
"LOC414300"	1	1	3	2	2	1
"KIAA1033"	2340	2047	3029	1828	1987	2306
"APPL2"	1359	2578	1870	1909	1812	1501
"KCCAT198"	0	0	0	0	1	0
"C12orf75"	28	14	27	22	36	40
"CASC18"	0	0	0	0	3	0
"NUAK1"	1	0	1	0	19	0
"CKAP4"	5	15	12	22	27	17
"TCP11L2"	605	8460	423	12133	6222	424
"POLR3B"	1034	880	1751	760	509	937
"LOC100287944"	11	17	6	3	7	12
"RFX4"	2	0	3	0	12	4
"LOC100505978"	0	0	0	0	2	0
"RIC8B"	383	467	528	352	359	398
"TMEM263"	248	178	374	115	174	337
"MTERF2"	701	794	893	610	659	887
"CRY1"	867	1637	1569	1476	1018	843
"BTBD11"	7	14	20	5	26	11
"PWP1"	2277	3292	5680	2522	1556	2518
"PRDM4"	1091	1307	2138	735	657	1301
"LOC101929162"	117	74	109	22	53	139
"ASCL4"	0	0	0	1	6	0
"LOC728739"	5	5	7	6	3	1
"WSCD2"	11	13	36	3	21	16
"CMKLR1"	684	2292	821	2064	1727	750
"LINC01498"	3	1	0	0	6	0
"FICD"	118	244	209	135	138	142
"SART3"	4302	7160	7920	4306	3170	4984
"ISCU"	1500	4665	3444	5180	2700	1555
"TMEM119"	3	2	2	3	4	2
"SELPLG"	296	301	1125	247	130	392
"MIR4496"	0	6	4	3	1	1
"CORO1C"	6427	9342	14252	6948	7250	7612
"SSH1"	415	373	1291	150	292	665
"MIR619"	2	0	4	0	0	2
"DAO"	0	0	1	0	5	0
"SVOP"	1	1	1	0	11	0
"USP30"	334	449	554	271	321	380
"USP30-AS1"	52	65	124	69	44	60
"ALKBH2"	181	199	398	132	61	249
"UNG"	1392	1254	3688	780	357	1575
"ACACB"	255	134	265	124	111	229
"FOXN4"	1	0	0	1	5	0
"LINC01486"	0	0	0	0	3	0
"MYO1H"	8	3	3	2	18	9
"KCTD10"	249	237	508	159	212	342
"UBE3B"	1892	4578	3337	3015	2348	2104
"MMAB"	751	1582	2059	1045	910	1081
"MVK"	275	548	500	348	290	271
"FAM222A"	61	135	243	59	54	79
"FAM222A-AS1"	2	0	2	0	0	1
"TRPV4"	2	2	4	0	10	1
"MIR4497"	0	0	0	0	1	0
"GLTP"	309	402	692	329	198	260
"TCHP"	1131	1650	2304	512	804	1361
"GIT2"	860	1038	1462	754	757	1062
"ANKRD13A"	2560	4367	5311	3730	2661	2905
"C12orf76"	59	66	107	57	41	90
"IFT81"	226	288	333	223	304	312
"ATP2A2"	4714	4206	9500	1956	2413	5326
"ANAPC7"	3448	3707	6182	2912	1963	3766
"ARPC3"	3919	7853	8970	7338	4153	4545
"GPN3"	1068	1442	2062	1166	739	1187
"FAM216A"	178	171	491	120	74	241
"VPS29"	1638	3167	3291	2650	1773	1806
"RAD9B"	43	86	56	50	42	32
"PPTC7"	660	475	1106	296	433	715
"TCTN1"	98	124	187	72	57	123
"HVCN1"	5	2	3	8	12	13
"PPP1CC"	8477	10681	16678	8050	5905	9044
"CCDC63"	0	0	1	0	5	0
"MYL2"	0	0	0	0	2	0
"LINC01405"	0	0	1	0	0	0
"CUX2"	1	3	3	0	19	0
"MIR6760"	0	0	0	0	0	0
"FAM109A"	46	46	163	31	44	47
"SH2B3"	5921	15650	10448	10517	5784	4790
"ATXN2"	1040	939	1244	601	844	1025
"BRAP"	2799	5071	5863	3225	2719	3189
"ACAD10"	521	884	1062	638	417	613
"ALDH2"	77	65	135	56	76	117
"MIR6761"	0	0	1	0	0	0
"MAPKAPK5-AS1"	293	474	740	304	176	404
"MAPKAPK5"	1465	1458	2798	1037	795	1645
"ADAM1A"	164	116	249	89	114	258
"TMEM116"	192	497	257	357	253	175
"ERP29"	2126	4549	5423	3011	1346	2562
"NAA25"	3727	2358	5324	1299	1664	3835
"MIR3657"	20	9	18	1	14	24
"TRAFD1"	1812	3516	3850	2361	1805	1994
"HECTD4"	18752	33691	17403	21849	27653	17488
"MIR6861"	2	2	1	1	0	0
"RPL6"	18154	26380	45842	23575	11869	19479
"PTPN11"	9435	13526	19993	9012	7464	10287
"MIR1302-1"	0	0	0	0	0	0
"RPH3A"	0	1	3	0	13	0
"OAS1"	1	8	1	2	6	0
"OAS3"	84	220	329	105	141	104
"OAS2"	1	2	7	3	19	7
"DTX1"	0	1	5	0	13	0
"RASAL1"	4	7	8	3	30	23
"CCDC42B"	19	27	34	7	13	33
"DDX54"	3036	4907	9703	2413	1314	3367
"MIR7106"	0	0	0	0	0	0
"RITA1"	608	884	1919	546	334	681
"IQCD"	18	29	68	16	18	22
"TPCN1"	1006	1336	2297	643	618	1164
"MIR6762"	0	0	0	1	1	3
"SLC8B1"	221	443	425	306	231	260
"PLBD2"	622	1316	1421	603	854	737
"SDS"	21	23	20	8	29	31
"SDSL"	167	922	372	602	386	201
"LHX5"	0	1	3	0	8	0
"LHX5-AS1"	0	0	0	0	0	0
"LINC01234"	3	0	2	0	10	3
"RBM19"	2107	2440	4701	1272	1129	2274
"TBX5"	0	0	0	0	19	0
"TBX5-AS1"	1	0	0	0	10	0
"TBX3"	1	1	2	1	18	0
"MED13L"	9148	17216	14133	11065	12007	9488
"MIR620"	3	3	5	1	6	8
