"GeneID"	"AA.043_Thalassimia_D08.N3"	"AA.043_Thalassimia_D10.N1"	"AA.043_Thalassimia_D08.N1"	"AA.043_Thalassimia_D10.N3"	"AA.043_Thalassimia_D10.H4"	"AA.043_Thalassimia_D08.H4"
"NOL9"	3699	4098	6798	2456	2370	3979
"TAS1R1"	2	4	3	0	5	9
"ZBTB48"	342	748	671	452	299	430
"KLHL21"	2096	5407	6467	3292	2144	2613
"PHF13"	923	2168	2125	1016	1094	1072
"THAP3"	252	631	514	400	208	266
"DNAJC11"	2437	2699	5799	1809	1259	2626
"LOC100505887"	0	0	0	0	2	0
"CAMTA1"	323	519	699	337	373	322
"VAMP3"	1751	2669	3117	2118	1707	1872
"PER3"	144	237	451	81	103	147
"UTS2"	2	4	5	3	6	4
"TNFRSF9"	5	7	84	2	46	46
"PARK7"	3101	5660	9706	3617	2135	3929
"ERRFI1"	13	17	13	25	21	16
"LOC102724539"	0	0	0	0	2	0
"SLC45A1"	0	2	0	0	2	0
"RERE"	779	599	984	329	701	786
"LOC102724552"	22	10	4	0	15	23
"ENO1"	9203	6963	16111	3611	2282	15380
"MIR6728"	2	0	1	1	1	1
"ENO1-AS1"	1	0	2	0	0	0
"CA6"	1	0	1	0	3	0
"SLC2A7"	1	1	0	0	0	0
"SLC2A5"	12	10	16	6	22	38
"GPR157"	2	1	3	1	5	0
"MIR34A"	0	1	1	0	0	1
"H6PD"	442	245	801	149	91	214
"SPSB1"	3	6	20	0	14	2
"LOC100506022"	5	7	15	12	10	7
"SLC25A33"	467	570	1103	328	185	479
"TMEM201"	660	766	1818	299	247	618
"PIK3CD"	163	182	499	50	104	269
"PIK3CD-AS1"	4	8	2	0	7	9
"PIK3CD-AS2"	8	4	13	1	6	3
"CLSTN1"	216	283	627	195	177	307
"CTNNBIP1"	179	297	498	147	106	197
"LZIC"	827	1734	1764	1536	956	965
"NMNAT1"	120	219	248	179	122	176
"MIR5697"	0	0	0	0	1	0
"RBP7"	1	0	4	0	2	2
"UBE4B"	4300	6438	7511	4220	4100	4485
"KIF1B"	659	354	754	270	376	723
"MIR1273D"	1	0	0	0	0	0
"PGD"	6834	7850	18586	5092	2994	8252
"APITD1-CORT"	2	7	8	2	1	3
"APITD1"	139	285	375	198	144	166
"CORT"	18	12	20	3	6	11
"DFFA"	625	762	1393	565	341	719
"PEX14"	402	640	979	395	307	450
"CASZ1"	306	1207	684	574	696	334
"C1orf127"	0	0	3	0	7	1
"TARDBP"	3619	2949	4874	1898	2238	3742
"MASP2"	440	218	331	125	195	415
"SRM"	324	326	1267	172	152	337
"EXOSC10"	4640	5967	8837	4474	3503	5211
"MTOR"	6187	9517	11060	6114	5955	6471
"MTOR-AS1"	70	47	48	20	63	63
"ANGPTL7"	142	95	102	26	114	159
"UBIAD1"	675	1174	1975	712	506	773
"PTCHD2"	5	6	5	2	10	1
"LOC101929181"	5	9	6	0	2	3
"FBXO2"	0	0	3	0	6	0
"FBXO44"	8	10	20	2	13	18
"FBXO6"	92	181	329	62	57	164
"MAD2L2"	785	1824	2493	1238	688	930
"DRAXIN"	0	0	3	0	8	1
"AGTRAP"	360	784	1646	350	206	430
"C1orf167"	4	8	4	0	8	0
"LOC102724659"	0	3	0	0	4	0
"MTHFR"	2738	6229	8154	2455	1985	3275
"CLCN6"	969	1100	1226	567	933	1045
"NPPA-AS1"	21	33	31	14	36	25
"NPPA"	13	17	19	2	30	16
"NPPB"	0	0	2	0	1	0
"RNU5E-1"	615	1146	973	1385	440	417
"KIAA2013"	914	2354	3179	1467	834	1076
"PLOD1"	561	846	1102	560	540	789
"MFN2"	7307	21064	18105	18080	10269	8302
"MIIP"	539	1951	1742	1628	640	634
"MIR6729"	0	1	2	0	0	0
"TNFRSF8"	2	0	6	2	4	0
"MIR7846"	0	0	1	0	0	1
"TNFRSF1B"	1679	2941	6570	1375	897	1978
"MIR4632"	0	4	4	0	1	0
"VPS13D"	12278	11535	17790	5842	6189	12031
"SNORA59A"	0	0	0	0	0	0
"SNORA59B"	0	0	0	0	0	0
"DHRS3"	935	2483	2132	1309	804	1300
"MIR6730"	6	1	0	1	4	3
"AADACL4"	0	0	1	0	1	0
"AADACL3"	0	1	5	0	9	0
"C1orf158"	0	0	1	0	3	0
"PRAMEF12"	0	3	0	1	1	0
"PRAMEF1"	0	0	0	0	4	0
"PRAMEF11"	0	0	0	0	2	0
"HNRNPCL1"	2	1	4	2	9	4
"PRAMEF2"	0	0	0	0	4	0
"PRAMEF4"	0	0	0	0	2	0
"PRAMEF10"	0	0	1	0	2	0
"PRAMEF7"	0	0	0	0	0	0
"PRAMEF6"	0	1	0	0	2	0
"LOC101929983"	0	0	0	0	1	0
"HNRNPCL3"	0	0	0	0	0	0
"HNRNPCL4"	0	0	0	0	0	0
"PRAMEF25"	0	0	0	0	0	0
"PRAMEF26"	0	0	0	0	0	0
"LOC649324"	0	0	0	0	0	0
"LOC645354"	0	0	0	0	0	0
"HNRNPCL2"	0	2	4	0	6	2
"PRAMEF9"	0	0	0	0	0	0
"LOC400736"	0	0	0	0	0	0
"LOC391003"	0	0	0	0	0	0
"PRAMEF22"	0	0	0	0	0	0
"PRAMEF5"	0	0	0	0	0	0
"PRAMEF8"	0	0	0	0	0	0
"LOC645382"	0	0	0	0	0	0
"PRAMEF15"	0	1	1	0	0	0
"PRAMEF14"	0	0	3	0	1	0
"PRAMEF19"	0	0	0	0	1	0
"PRAMEF16"	0	0	0	0	0	0
"PRAMEF17"	0	0	0	0	0	0
"PRAMEF20"	0	0	0	1	5	0
"LRRC38"	0	0	1	0	3	0
"PDPN"	1	0	1	1	5	0
"PRDM2"	1639	1499	2156	884	1421	1581
"KAZN"	5	5	34	6	18	11
"TMEM51-AS1"	1	0	2	0	4	0
"TMEM51"	1	3	4	2	18	19
"C1orf195"	3	0	3	0	4	7
