molecule_chembl_id,stdInChiKey,formula,STATUS,pIC50,MW,LogP,nHAcc,nHDon,smiles,preferredCompoundName
CHEMBL2030603,XMRQBELUXDSFET-VMPITWQZSA-N,C23H19Cl2NO5,active,9.236572006437065,460.3130000000002,4.797800000000003,5,2,COc1c(Cl)cc(cc1Cl)C2C(=CNC=C2C(=O)OC\C=C\c3ccccc3)C(=O)O,-
CHEMBL2180905,YVSHQGAIDXNKCO-UHFFFAOYSA-N,C23H24F4N2O5S2,active,9.251811972993801,548.58,3.7059000000000033,5,0,CS(=O)(=O)c1ccc(F)cc1C(=O)N2CCC(CC2)N(C3CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F,-
CHEMBL2180902,LICNHLYXAUMODF-UHFFFAOYSA-N,C23H25F3N2O5S2,active,9.18045606445813,530.59,3.5668000000000024,5,0,CS(=O)(=O)c1ccccc1C(=O)N2CCC(CC2)N(C3CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F,-
CHEMBL2180898,GYBZUPQPAFWYHB-UHFFFAOYSA-N,C24H28F3N3O3S,active,9.619788758288394,495.5670000000001,4.229300000000004,4,0,CN(C)c1cccc(c1)C(=O)N2CCC(CC2)N(C3CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F,-
CHEMBL2180897,MIWCXWOZKGQAJU-UHFFFAOYSA-N,C24H25F3N2O5S,active,9.42021640338319,510.5340000000002,3.949900000000004,5,0,COC(=O)c1cccc(c1)C(=O)N2CCC(CC2)N(C3CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F,-
CHEMBL2180896,VSHHDVGDRNITCO-UHFFFAOYSA-N,C23H22F6N2O4S,active,9.522878745280336,536.494,5.061900000000004,4,0,FC(F)(F)Oc1ccc(cc1)C(=O)N2CCC(CC2)N(C3CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F,-
CHEMBL2180895,XVGZUZGYIPSSIA-UHFFFAOYSA-N,C23H22F6N2O4S,active,9.431798275933003,536.494,5.061900000000004,4,0,FC(F)(F)Oc1cccc(c1)C(=O)N2CCC(CC2)N(C3CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F,-
CHEMBL2180894,YNPRATQODWQQPG-UHFFFAOYSA-N,C23H22F6N2O4S,active,9.920818753952377,536.494,5.061900000000005,4,0,FC(F)(F)Oc1ccccc1C(=O)N2CCC(CC2)N(C3CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F,-
CHEMBL2180892,LJHMYNUCTJGBAR-UHFFFAOYSA-N,C24H29F3N2O4S,active,10.221848749616356,498.5670000000002,4.540300000000005,5,0,COc1cccc(OC)c1CN2CCC(CC2)N(C3CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F,-
CHEMBL2414769,OONNSAGNBXOPBZ-TTYHFUOFSA-N,C23H34F3N3O3S,active,9.309803919971486,489.6040000000001,3.6350000000000033,4,2,CCN[C@@H](CC(C)(C)C)C(=O)N[C@H]1CC[C@@H]2CN(C[C@H]12)S(=O)(=O)c3ccc(cc3)C(F)(F)F,-
CHEMBL2414787,VFERXZCIWTVZIB-SEVLPDGMSA-N,C24H36F3N3O3S,active,9.4089353929735,503.63100000000014,4.023500000000003,4,2,CC(C)N[C@@H](CC(C)(C)C)C(=O)N[C@H]1CC[C@@H]2CN(C[C@H]12)S(=O)(=O)c3ccc(cc3)C(F)(F)F,-
CHEMBL2414785,BDLRFXCGYNTMSB-FCLVOEFKSA-N,C22H32F3N3O3S,active,9.102372908709556,475.5770000000001,3.244900000000002,4,2,CN[C@@H](CC(C)(C)C)C(=O)N[C@H]1CC[C@@H]2CN(C[C@H]12)S(=O)(=O)c3ccc(cc3)C(F)(F)F,-
CHEMBL2414782,BFAXFMGLVFROAN-FCLVOEFKSA-N,C21H30F3N3O3S,active,9.1249387366083,461.5500000000001,2.9989000000000017,4,2,CCCC[C@H](NC)C(=O)N[C@H]1CC[C@@H]2CN(C[C@H]12)S(=O)(=O)c3ccc(cc3)C(F)(F)F,-
CHEMBL2414780,MMDCSDUKHMRAQD-FCLVOEFKSA-N,C21H30F3N3O3S,active,9.1249387366083,461.5500000000001,2.854800000000001,4,2,CN[C@@H](CC(C)C)C(=O)N[C@H]1CC[C@@H]2CN(C[C@H]12)S(=O)(=O)c3ccc(cc3)C(F)(F)F,-
CHEMBL2414779,ANAIAONRHKYHOR-OBZTUIKSSA-N,C22H32F3N3O3S,active,9.346787486224656,475.5770000000001,3.197000000000002,4,1,CC(C)C[C@H](N(C)C)C(=O)N[C@@H]1CC[C@H]2CN(C[C@@H]12)S(=O)(=O)c3cccc(c3)C(F)(F)F,-
CHEMBL2414778,MMDCSDUKHMRAQD-PIKADFDJSA-N,C21H30F3N3O3S,active,9.113509274827518,461.5500000000001,2.854800000000001,4,2,CN[C@@H](CC(C)C)C(=O)N[C@@H]1CC[C@H]2CN(C[C@@H]12)S(=O)(=O)c3ccc(cc3)C(F)(F)F,-
CHEMBL2414777,IHHWRTZSIPTIAB-PIKADFDJSA-N,C21H30F3N3O3S,active,9.283996656365199,461.5500000000001,2.854800000000001,4,2,CN[C@@H](CC(C)C)C(=O)N[C@@H]1CC[C@H]2CN(C[C@@H]12)S(=O)(=O)c3cccc(c3)C(F)(F)F,-
CHEMBL3092198,NLTKWBJFNLWOOZ-UHFFFAOYSA-N,C23H25F4NO5S2,active,9.292429823902065,535.5810000000004,4.352700000000004,5,0,CC(C)(C1CCN(CC1)C(=O)c2cc(F)ccc2S(=O)(=O)C)S(=O)(=O)c3cccc(c3)C(F)(F)F,-
CHEMBL3092197,YUAUQYXSYMIINF-UHFFFAOYSA-N,C24H25F6NO6S2,active,10.036212172654443,601.5870000000003,5.112200000000006,6,0,CC(C)(C1CCN(CC1)C(=O)c2ccc(cc2OC(F)(F)F)S(=O)(=O)C)S(=O)(=O)c3cccc(c3)C(F)(F)F,-
CHEMBL3092223,HMGFQDHFCUHWCY-UHFFFAOYSA-N,C23H23F6NO6S2,active,9.431798275933003,587.5600000000004,4.722100000000005,6,0,CC(C1CCN(CC1)C(=O)c2ccc(cc2OC(F)(F)F)S(=O)(=O)C)S(=O)(=O)c3cccc(c3)C(F)(F)F,-
CHEMBL3092222,MZITYFPUVHRRMN-UHFFFAOYSA-N,C22H21F6NO6S2,active,9.443697499232712,573.5330000000004,4.333600000000004,6,0,CS(=O)(=O)c1ccc(C(=O)N2CCC(CS(=O)(=O)c3cccc(c3)C(F)(F)F)CC2)c(OC(F)(F)F)c1,-
CHEMBL3092220,GNBVLOUFXQQACS-UHFFFAOYSA-N,C24H24F6N2O5S2,active,10.142667503568733,598.5870000000001,4.4447000000000045,5,0,CS(=O)(=O)c1cc(ccc1C(=O)N2CCC3(CCN(CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F)C2)C(F)(F)F,-
CHEMBL3092219,ILVKCKMIHRARPE-UHFFFAOYSA-N,C24H24F6N2O5S2,active,9.508638306165727,598.5870000000003,4.444700000000004,5,0,CS(=O)(=O)c1ccc(C(=O)N2CCC3(CCN(CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F)C2)c(c1)C(F)(F)F,-
CHEMBL3092218,MEZUPKJWYSDXDF-RNODOKPDSA-N,C22H22ClF3N2O5S2,active,10.318758762624412,551.0080000000002,3.8285000000000036,5,0,C[C@H]1[C@@H](CN1C(=O)c2ccc(cc2Cl)S(=O)(=O)C)N(C3CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F,-
CHEMBL3092217,HJZPUOLVSAJMGV-UHFFFAOYSA-N,C22H20F6N2O5S2,active,9.568636235841012,570.5330000000002,3.8054000000000032,5,0,CS(=O)(=O)c1ccc(C(=O)N2CC(C2)N(C3CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F)c(c1)C(F)(F)F,-
