molecule_chembl_id,stdInChiKey,formula,STATUS,pIC50,MW,LogP,nHAcc,nHDon,smiles,preferredCompoundName
CHEMBL3823224,-,-,inactive,6.154901959985742,612.1590000000001,5.868600000000005,9,2,CC(C)Oc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,-
CHEMBL3824318,-,-,inactive,6.596879478824183,598.1320000000001,5.480100000000004,9,2,CCOc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,-
CHEMBL3823836,-,-,inactive,6.767003889607847,598.1320000000001,5.398420000000004,9,2,COc1cc(N2CCC(CC2)N3CCN(C)CC3)c(C)cc1Nc4ncc(Cl)c(Nc5ccccc5P(=O)(C)C)n4,-
CHEMBL3823078,-,-,inactive,5.928486194904911,602.095,5.229100000000004,9,2,COc1cc(N2CCC(CC2)N3CCN(C)CC3)c(F)cc1Nc4ncc(Cl)c(Nc5ccccc5P(=O)(C)C)n4,-
CHEMBL3824308,-,-,inactive,6.503070351926786,612.1590000000003,5.870200000000005,9,2,CCP(=O)(CC)c1ccccc1Nc2nc(Nc3ccc(cc3OC)N4CCC(CC4)N5CCN(C)CC5)ncc2Cl,-
CHEMBL3823577,-,-,inactive,6.3160528692484865,563.687,4.745020000000003,9,2,COc1cc(ccc1Nc2ncc(C)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,-
CHEMBL3823296,-,-,inactive,5.773915884024175,567.65,4.575700000000003,9,2,COc1cc(ccc1Nc2ncc(F)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,-
CHEMBL3823198,-,-,inactive,5.773657912836369,579.686,4.4452000000000025,10,2,COc1cc(ccc1Nc2ncc(OC)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,-
CHEMBL3822524,-,-,inactive,6.435333935747911,589.7250000000001,5.314000000000004,9,2,COc1cc(ccc1Nc2ncc(C3CC3)c(Nc4ccccc4P(=O)(C)C)n2)N5CCC(CC5)N6CCN(C)CC6,-
CHEMBL3823190,-,-,inactive,7.242603971206976,499.9830000000001,5.683000000000005,7,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)C4CCN(C)CC4,-
CHEMBL3822645,-,-,inactive,6.153662887870195,552.0190000000001,5.661800000000004,9,3,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)c4cnn(c4)C5CCNCC5,-
CHEMBL3823243,-,-,inactive,6.568636235841013,555.0630000000001,5.938400000000005,8,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(C4)N5CCCCC5,-
CHEMBL3824290,-,-,inactive,6.790484985457369,598.1320000000001,5.480100000000004,9,2,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCCN(C)CC5,-
